src,irsstub,incrange,variable,value,excel_column,table_description,column_description
17in11si.xls,15,"$1,000,000 under $1,500,000",agi,268740908.0,D,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
17in11si.xls,16,"$1,500,000 under $2,000,000",agi,155813355.0,D,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
17in11si.xls,17,"$2,000,000 under $5,000,000",agi,386043696.0,D,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
17in11si.xls,18,"$5,000,000 under $10,000,000",agi,216163537.0,D,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
17in11si.xls,19,"$10,000,000 or more",agi,632163016.0,D,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
17in11si.xls,0,All returns,nret_txbl,103747043.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,1,No adjusted gross income,nret_txbl,3445.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,2,"$1 under $5,000",nret_txbl,187314.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,3,"$5,000 under $10,000",nret_txbl,1922850.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,4,"$10,000 under $15,000",nret_txbl,4267204.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,5,"$15,000 under $20,000",nret_txbl,5223592.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,6,"$20,000 under $25,000",nret_txbl,5499627.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,7,"$25,000 under $30,000",nret_txbl,5519831.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,8,"$30,000 under $40,000",nret_txbl,10904828.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,9,"$40,000 under $50,000",nret_txbl,9954688.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,10,"$50,000 under $75,000",nret_txbl,19556080.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,11,"$75,000 under $100,000",nret_txbl,13214138.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,12,"$100,000 under $200,000",nret_txbl,19786590.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,13,"$200,000 under $500,000",nret_txbl,6203409.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,14,"$500,000 under $1,000,000",nret_txbl,1009082.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,15,"$1,000,000 under $1,500,000",nret_txbl,222370.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,16,"$1,500,000 under $2,000,000",nret_txbl,90443.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,17,"$2,000,000 under $5,000,000",nret_txbl,129741.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,18,"$5,000,000 under $10,000,000",nret_txbl,31602.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,19,"$10,000,000 or more",nret_txbl,20209.0,G,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
17in11si.xls,0,All returns,L,7857396108.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,1,No adjusted gross income,L,0.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,2,"$1 under $5,000",L,271522.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,3,"$5,000 under $10,000",L,3573583.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,4,"$10,000 under $15,000",L,14937150.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,5,"$15,000 under $20,000",L,36578638.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,6,"$20,000 under $25,000",L,59374079.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,7,"$25,000 under $30,000",L,80410993.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,8,"$30,000 under $40,000",L,227618768.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,9,"$40,000 under $50,000",L,285750881.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,10,"$50,000 under $75,000",L,811534087.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,11,"$75,000 under $100,000",L,812103261.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,12,"$100,000 under $200,000",L,2032168271.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,13,"$200,000 under $500,000",L,1449911100.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,14,"$500,000 under $1,000,000",L,595494762.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,15,"$1,000,000 under $1,500,000",L,236891551.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,16,"$1,500,000 under $2,000,000",L,137549143.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,17,"$2,000,000 under $5,000,000",L,340679096.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,18,"$5,000,000 under $10,000,000",L,190638120.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,19,"$10,000,000 or more",L,541911101.0,L,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,0,All returns,O,1581514014.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,1,No adjusted gross income,O,198231.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,2,"$1 under $5,000",O,31956.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,3,"$5,000 under $10,000",O,368064.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,4,"$10,000 under $15,000",O,1391657.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,5,"$15,000 under $20,000",O,3505521.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,6,"$20,000 under $25,000",O,6314256.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,7,"$25,000 under $30,000",O,9105303.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,8,"$30,000 under $40,000",O,26166552.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,9,"$40,000 under $50,000",O,33590286.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,10,"$50,000 under $75,000",O,105654965.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,11,"$75,000 under $100,000",O,112966329.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,12,"$100,000 under $200,000",O,340958752.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,13,"$200,000 under $500,000",O,336733818.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,14,"$500,000 under $1,000,000",O,169190566.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,15,"$1,000,000 under $1,500,000",O,72348263.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,16,"$1,500,000 under $2,000,000",O,42912660.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,17,"$2,000,000 under $5,000,000",O,107262711.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,18,"$5,000,000 under $10,000,000",O,59176668.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,19,"$10,000,000 or more",O,153637455.0,O,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,0,All returns,Q,1605281768.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,1,No adjusted gross income,Q,198770.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,2,"$1 under $5,000",Q,31956.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,3,"$5,000 under $10,000",Q,368064.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,4,"$10,000 under $15,000",Q,1391657.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,5,"$15,000 under $20,000",Q,3505521.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,6,"$20,000 under $25,000",Q,6314256.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,7,"$25,000 under $30,000",Q,9105303.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,8,"$30,000 under $40,000",Q,26166606.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,9,"$40,000 under $50,000",Q,33590399.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,10,"$50,000 under $75,000",Q,105652826.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,11,"$75,000 under $100,000",Q,112966409.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,12,"$100,000 under $200,000",Q,340992723.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,13,"$200,000 under $500,000",Q,339962887.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,14,"$500,000 under $1,000,000",Q,172977458.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,15,"$1,000,000 under $1,500,000",Q,74270402.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,16,"$1,500,000 under $2,000,000",Q,44168337.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,17,"$2,000,000 under $5,000,000",Q,110730178.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,18,"$5,000,000 under $10,000,000",Q,61274648.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in11si.xls,19,"$10,000,000 or more",Q,161613368.0,Q,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",
17in12ms.xls,0,"All returns, total",nret_all,152903231.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,1,No adjusted gross income (includes deficits),nret_all,2030316.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,2,"$1 under $5,000",nret_all,9752106.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,3,"$5,000 under $10,000",nret_all,10789563.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,4,"$10,000 under $15,000",nret_all,11594637.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,5,"$15,000 under $20,000",nret_all,10665270.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,6,"$20,000 under $25,000",nret_all,9983829.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,7,"$25,000 under $30,000",nret_all,8824548.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,8,"$30,000 under $40,000",nret_all,15209009.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,9,"$40,000 under $50,000",nret_all,11915599.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,10,"$50,000 under $75,000",nret_all,20958446.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,11,"$75,000 under $100,000",nret_all,13508353.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,12,"$100,000 under $200,000",nret_all,19951450.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,13,"$200,000 under $500,000",nret_all,6215046.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,14,"$500,000 under $1,000,000",nret_all,1010203.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,15,"$1,000,000 under $1,500,000",nret_all,222611.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,16,"$1,500,000 under $2,000,000",nret_all,90527.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,17,"$2,000,000 under $5,000,000",nret_all,129868.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,18,"$5,000,000 under $10,000,000",nret_all,31628.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,19,"$10,000,000 or more",nret_all,20223.0,B,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns
17in12ms.xls,0,"All returns, total",agi,11009900155.0,C,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Adjusted gross income less deficit
17in12ms.xls,1,No adjusted gross income (includes deficits),agi,-232238464.0,C,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Adjusted gross income less deficit
17in12ms.xls,2,"$1 under $5,000",agi,25230099.0,C,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Adjusted gross income less deficit
17in12ms.xls,3,"$5,000 under $10,000",agi,81447661.0,C,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Adjusted gross income less deficit
17in12ms.xls,4,"$10,000 under $15,000",agi,145001169.0,C,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Adjusted gross income less deficit
17in12ms.xls,5,"$15,000 under $20,000",agi,186097793.0,C,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Adjusted gross income less deficit
17in12ms.xls,6,"$20,000 under $25,000",agi,224218126.0,C,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Adjusted gross income less deficit
17in12ms.xls,7,"$25,000 under $30,000",agi,242450897.0,C,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Adjusted gross income less deficit
17in12ms.xls,8,"$30,000 under $40,000",agi,529629959.0,C,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Adjusted gross income less deficit
17in12ms.xls,9,"$40,000 under $50,000",agi,533337760.0,C,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Adjusted gross income less deficit
17in12ms.xls,10,"$50,000 under $75,000",agi,1286848073.0,C,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Adjusted gross income less deficit
