common_stub,incrange,pufvar,irsvar,irs,table_description,column_description,src,excel_column
0,All returns,e26270pos_nnz,nret_partnerscorpinc,6240408.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with partnership or S corporation net income,17in14ar.xls,BD
0,All returns,e26270neg,partnerscorploss,-153150406000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Partnership or S corporation net loss,17in14ar.xls,BG
0,All returns,e26270neg_nnz,nret_partnerscorploss,2872745.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with partnership or S corporation net loss,17in14ar.xls,BF
0,All returns,c17000,id_medical_capped,102533387000.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income","Total medical expenses, capped",17in21id.xls,BN
0,All returns,c17000_nnz,nret_id_medical_capped,10171257.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income","Number of returns with total medical expenses, capped",17in21id.xls,BM
0,All returns,c18300,id_taxpaid,624820806000.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Taxes paid deduction,17in21id.xls,BT
0,All returns,c18300_nnz,nret_id_taxpaid,46431232.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with taxes paid deduction,17in21id.xls,BS
0,All returns,c19200,id_intpaid,313944112000.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Interest paid deduction,17in21id.xls,CH
0,All returns,c19200_nnz,nret_id_intpaid,34327403.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with interest paid deduction,17in21id.xls,CG
0,All returns,c19700,id_contributions,256064685000.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Contributions deduction,17in21id.xls,CV
0,All returns,c19700_nnz,nret_id_contributions,37979015.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with contributions deduction,17in21id.xls,CU
0,All returns,c04800,ti,8008418180000.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Taxable income,17in12ms.xls,J
0,All returns,c04800_nnz,nret_ti,119045254.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with taxable income,17in12ms.xls,I
0,All returns,c09200,taxac,1581523123000.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Income tax after credits,17in12ms.xls,L
0,All returns,c09200_nnz,nret_taxac,103730078.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with income tax after credits,17in12ms.xls,K
1,"Under $5,000",nret_all,nret_all,11782422.0,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns,17in11si.xls,B
1,"Under $5,000",mars1,nret_single,9624749.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of single persons,17in12ms.xls,BB
1,"Under $5,000",mars2,nret_mfjss,1380491.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of married persons filing jointly and returns of surviving spouses,17in12ms.xls,O
1,"Under $5,000",mars3,nret_mfs,201766.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of married persons filing separately,17in12ms.xls,AB
1,"Under $5,000",mars4,nret_hoh,575416.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of heads of households,17in12ms.xls,AO
1,"Under $5,000",c00100,agi,-207008365000.0,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit,17in11si.xls,D
1,"Under $5,000",e00200,wages,45624860000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Salaries and wages,17in14ar.xls,G
1,"Under $5,000",e00200_nnz,nret_wages,7498743.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with salaries and wages,17in14ar.xls,F
1,"Under $5,000",e00300,taxint,6313334000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Taxable interest,17in14ar.xls,I
1,"Under $5,000",e00300_nnz,nret_taxint,2116158.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with taxable interest,17in14ar.xls,H
1,"Under $5,000",e00600,orddiv,6297087000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Ordinary dividends,17in14ar.xls,M
1,"Under $5,000",e00600_nnz,nret_orddiv,1364222.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with ordinary dividends,17in14ar.xls,L
1,"Under $5,000",c01000pos,cggross,19771923000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Capital gains gross taxable,17in14ar.xls,AA
1,"Under $5,000",c01000pos_nnz,nret_cggross,437630.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with capital gains gross taxable,17in14ar.xls,Z
1,"Under $5,000",c01000neg,cgloss,-1641623000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Capital loss taxable,17in14ar.xls,AC
1,"Under $5,000",c01000neg_nnz,nret_cgloss,709045.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with capital loss taxable,17in14ar.xls,AB
1,"Under $5,000",e01500,pensions,13204540000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Total pensions and annuities (including nontaxable),17in14ar.xls,AK
1,"Under $5,000",e01500_nnz,nret_pensions,1004073.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with total pensions and annuities (including nontaxable),17in14ar.xls,AJ
1,"Under $5,000",e02400,socsectot,51453659000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Total Social Security benefits,17in14ar.xls,BS
1,"Under $5,000",e02400_nnz,nret_socsectot,2764827.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with total Social Security benefits,17in14ar.xls,BR
1,"Under $5,000",c02500,socsectaxable,110488000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Taxable Social Security benefits,17in14ar.xls,BU
1,"Under $5,000",c02500_nnz,nret_socsectaxable,25697.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with taxable Social Security benefits,17in14ar.xls,BT
1,"Under $5,000",e26270pos,partnerscorpinc,6965822000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Partnership or S corporation net income,17in14ar.xls,BE
1,"Under $5,000",e26270pos_nnz,nret_partnerscorpinc,162632.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with partnership or S corporation net income,17in14ar.xls,BD
1,"Under $5,000",e26270neg,partnerscorploss,-63385900000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Partnership or S corporation net loss,17in14ar.xls,BG
1,"Under $5,000",e26270neg_nnz,nret_partnerscorploss,373747.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with partnership or S corporation net loss,17in14ar.xls,BF
1,"Under $5,000",c17000,id_medical_capped,2083179000.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income","Total medical expenses, capped",17in21id.xls,BN
1,"Under $5,000",c17000_nnz,nret_id_medical_capped,212297.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income","Number of returns with total medical expenses, capped",17in21id.xls,BM
1,"Under $5,000",c18300,id_taxpaid,1187308000.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Taxes paid deduction,17in21id.xls,BT
1,"Under $5,000",c18300_nnz,nret_id_taxpaid,252607.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with taxes paid deduction,17in21id.xls,BS
1,"Under $5,000",c19200,id_intpaid,905316000.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Interest paid deduction,17in21id.xls,CH
1,"Under $5,000",c19200_nnz,nret_id_intpaid,135863.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with interest paid deduction,17in21id.xls,CG
1,"Under $5,000",c19700,id_contributions,105239000.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Contributions deduction,17in21id.xls,CV
1,"Under $5,000",c19700_nnz,nret_id_contributions,156684.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with contributions deduction,17in21id.xls,CU
1,"Under $5,000",c04800,ti,370804000.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Taxable income,17in12ms.xls,J
1,"Under $5,000",c04800_nnz,nret_ti,328424.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with taxable income,17in12ms.xls,I
1,"Under $5,000",c09200,taxac,230188000.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Income tax after credits,17in12ms.xls,L
1,"Under $5,000",c09200_nnz,nret_taxac,190751.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with income tax after credits,17in12ms.xls,K
2,"$5,000 under $10,000",nret_all,nret_all,10789563.0,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns,17in11si.xls,B
2,"$5,000 under $10,000",mars1,nret_single,8354084.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of single persons,17in12ms.xls,BB
2,"$5,000 under $10,000",mars2,nret_mfjss,964726.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of married persons filing jointly and returns of surviving spouses,17in12ms.xls,O
2,"$5,000 under $10,000",mars3,nret_mfs,144723.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of married persons filing separately,17in12ms.xls,AB
2,"$5,000 under $10,000",mars4,nret_hoh,1326029.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of heads of households,17in12ms.xls,AO
2,"$5,000 under $10,000",c00100,agi,81447661000.0,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit,17in11si.xls,D
2,"$5,000 under $10,000",e00200,wages,61751519000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Salaries and wages,17in14ar.xls,G
2,"$5,000 under $10,000",e00200_nnz,nret_wages,8269276.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with salaries and wages,17in14ar.xls,F
2,"$5,000 under $10,000",e00300,taxint,750884000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Taxable interest,17in14ar.xls,I
2,"$5,000 under $10,000",e00300_nnz,nret_taxint,1334991.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with taxable interest,17in14ar.xls,H
2,"$5,000 under $10,000",e00600,orddiv,1282506000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Ordinary dividends,17in14ar.xls,M
2,"$5,000 under $10,000",e00600_nnz,nret_orddiv,815099.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with ordinary dividends,17in14ar.xls,L
2,"$5,000 under $10,000",c01000pos,cggross,879902000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Capital gains gross taxable,17in14ar.xls,AA
2,"$5,000 under $10,000",c01000pos_nnz,nret_cggross,324549.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with capital gains gross taxable,17in14ar.xls,Z
2,"$5,000 under $10,000",c01000neg,cgloss,-547009000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Capital loss taxable,17in14ar.xls,AC
2,"$5,000 under $10,000",c01000neg_nnz,nret_cgloss,264552.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with capital loss taxable,17in14ar.xls,AB
2,"$5,000 under $10,000",e01500,pensions,10211529000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Total pensions and annuities (including nontaxable),17in14ar.xls,AK
2,"$5,000 under $10,000",e01500_nnz,nret_pensions,1208473.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with total pensions and annuities (including nontaxable),17in14ar.xls,AJ
2,"$5,000 under $10,000",e02400,socsectot,37114006000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Total Social Security benefits,17in14ar.xls,BS
2,"$5,000 under $10,000",e02400_nnz,nret_socsectot,2000972.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with total Social Security benefits,17in14ar.xls,BR
2,"$5,000 under $10,000",c02500,socsectaxable,243551000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Taxable Social Security benefits,17in14ar.xls,BU
2,"$5,000 under $10,000",c02500_nnz,nret_socsectaxable,44872.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with taxable Social Security benefits,17in14ar.xls,BT
2,"$5,000 under $10,000",e26270pos,partnerscorpinc,686865000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Partnership or S corporation net income,17in14ar.xls,BE
2,"$5,000 under $10,000",e26270pos_nnz,nret_partnerscorpinc,92439.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with partnership or S corporation net income,17in14ar.xls,BD
2,"$5,000 under $10,000",e26270neg,partnerscorploss,-667230000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Partnership or S corporation net loss,17in14ar.xls,BG
2,"$5,000 under $10,000",e26270neg_nnz,nret_partnerscorploss,69107.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with partnership or S corporation net loss,17in14ar.xls,BF
2,"$5,000 under $10,000",c17000,id_medical_capped,2740757000.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income","Total medical expenses, capped",17in21id.xls,BN
2,"$5,000 under $10,000",c17000_nnz,nret_id_medical_capped,306402.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income","Number of returns with total medical expenses, capped",17in21id.xls,BM
2,"$5,000 under $10,000",c18300,id_taxpaid,1380137000.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Taxes paid deduction,17in21id.xls,BT
2,"$5,000 under $10,000",c18300_nnz,nret_id_taxpaid,392535.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with taxes paid deduction,17in21id.xls,BS
2,"$5,000 under $10,000",c19200,id_intpaid,1367400000.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Interest paid deduction,17in21id.xls,CH
2,"$5,000 under $10,000",c19200_nnz,nret_id_intpaid,213034.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with interest paid deduction,17in21id.xls,CG
2,"$5,000 under $10,000",c19700,id_contributions,425639000.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Contributions deduction,17in21id.xls,CV
2,"$5,000 under $10,000",c19700_nnz,nret_id_contributions,266852.0,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with contributions deduction,17in21id.xls,CU
2,"$5,000 under $10,000",c04800,ti,3663625000.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Taxable income,17in12ms.xls,J
2,"$5,000 under $10,000",c04800_nnz,nret_ti,1971076.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with taxable income,17in12ms.xls,I
2,"$5,000 under $10,000",c09200,taxac,368064000.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Income tax after credits,17in12ms.xls,L
2,"$5,000 under $10,000",c09200_nnz,nret_taxac,1922850.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with income tax after credits,17in12ms.xls,K
3,"$10,000 under $15,000",nret_all,nret_all,11594637.0,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns,17in11si.xls,B
3,"$10,000 under $15,000",mars1,nret_single,7508038.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of single persons,17in12ms.xls,BB
3,"$10,000 under $15,000",mars2,nret_mfjss,1320912.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of married persons filing jointly and returns of surviving spouses,17in12ms.xls,O
3,"$10,000 under $15,000",mars3,nret_mfs,151753.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of married persons filing separately,17in12ms.xls,AB
3,"$10,000 under $15,000",mars4,nret_hoh,2613933.0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of heads of households,17in12ms.xls,AO
3,"$10,000 under $15,000",c00100,agi,145001169000.0,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit,17in11si.xls,D
3,"$10,000 under $15,000",e00200,wages,102641467000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Salaries and wages,17in14ar.xls,G
3,"$10,000 under $15,000",e00200_nnz,nret_wages,8640300.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with salaries and wages,17in14ar.xls,F
3,"$10,000 under $15,000",e00300,taxint,910294000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Taxable interest,17in14ar.xls,I
3,"$10,000 under $15,000",e00300_nnz,nret_taxint,1452616.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with taxable interest,17in14ar.xls,H
3,"$10,000 under $15,000",e00600,orddiv,1834544000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Ordinary dividends,17in14ar.xls,M
3,"$10,000 under $15,000",e00600_nnz,nret_orddiv,875416.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with ordinary dividends,17in14ar.xls,L
3,"$10,000 under $15,000",c01000pos,cggross,1475473000.0,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Capital gains gross taxable,17in14ar.xls,AA
