
Regrown reweighted puf, ipopt method, compared to IRS values, run on 2020-11-21

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

     common_stub     incrange         pufvar                  irsvar              target                 puf            diff  pdiff  ipdiff                                                                     column_description
691            0  All returns  e26270pos_nnz    nret_partnerscorpinc           6,240,408           6,236,789          -3,619  -0.1%   -7.2%                         Number of returns with partnership or S corporation net income
737            0  All returns      e26270neg        partnerscorploss    -153,150,406,000    -153,190,146,302     -39,740,302   0.0%    7.7%                                                  Partnership or S corporation net loss
783            0  All returns  e26270neg_nnz   nret_partnerscorploss           2,872,745           2,872,863             118   0.0%    8.1%                           Number of returns with partnership or S corporation net loss
25             0  All returns         c17000       id_medical_capped     102,533,387,000      95,510,618,000  -7,022,769,000  -6.8%   -4.8%                                                         Total medical expenses, capped
28             0  All returns     c17000_nnz  nret_id_medical_capped          10,171,257           9,650,995        -520,262  -5.1%   -3.2%                                  Number of returns with total medical expenses, capped
673            0  All returns         c18300              id_taxpaid     624,820,806,000     625,265,899,476     445,093,476   0.1%    2.9%                                                                   Taxes paid deduction
619            0  All returns     c18300_nnz         nret_id_taxpaid          46,431,232          46,385,357         -45,875  -0.1%    1.2%                                            Number of returns with taxes paid deduction
658            0  All returns         c19200              id_intpaid     313,944,112,000     314,213,933,255     269,821,255   0.1%   15.1%                                                                Interest paid deduction
633            0  All returns     c19200_nnz         nret_id_intpaid          34,327,403          34,360,588          33,185   0.1%    7.5%                                         Number of returns with interest paid deduction
635            0  All returns         c19700        id_contributions     256,064,685,000     255,818,230,271    -246,454,729  -0.1%   -1.5%                                                                Contributions deduction
79             0  All returns     c19700_nnz   nret_id_contributions          37,979,015          38,078,879          99,864   0.3%    3.7%                                         Number of returns with contributions deduction
80             0  All returns         c04800                      ti   8,008,418,180,000   8,028,666,176,581  20,247,996,581   0.3%    0.9%                                                                         Taxable income
66             0  All returns     c04800_nnz                 nret_ti         119,045,254         119,620,962         575,708   0.5%   -3.1%                                                  Number of returns with taxable income
102            0  All returns         c05800                   taxbc   1,662,837,203,000   1,664,502,868,612   1,665,665,612   0.1%    2.1%                         Income tax before credits (IRS definition, not PUF definition)
682            0  All returns     c05800_nnz              nret_taxbc         118,644,112         118,716,411          72,299   0.1%   -3.8%  Number of returns with income tax before credits (IRS definition, not PUF definition)
53             0  All returns      taxac_irs                   taxac   1,581,523,123,000   1,595,619,517,227  14,096,394,227   0.9%    3.1%                                                               Income tax after credits
61             0  All returns  taxac_irs_nnz              nret_taxac         103,730,078         104,423,284         693,206   0.7%   -3.0%                                        Number of returns with income tax after credits

2. Detailed report by AGI range for each variable:

     common_stub                      incrange    pufvar    irsvar       target          puf     diff  pdiff  ipdiff column_description
710            0                   All returns  nret_all  nret_all  152,903,231  152,833,175  -70,056  -0.0%   -4.6%  Number of returns
703            1                  Under $5,000  nret_all  nret_all   11,782,422   11,776,584   -5,838  -0.0%  -12.7%  Number of returns
740            2          $5,000 under $10,000  nret_all  nret_all   10,789,563   10,792,300    2,737   0.0%  -13.7%  Number of returns
416            3         $10,000 under $15,000  nret_all  nret_all   11,594,637   11,583,042  -11,595  -0.1%   -6.2%  Number of returns
677            4         $15,000 under $20,000  nret_all  nret_all   10,665,270   10,672,560    7,290   0.1%    0.4%  Number of returns
354            5         $20,000 under $25,000  nret_all  nret_all    9,983,829    9,973,845   -9,984  -0.1%  -18.2%  Number of returns
641            6         $25,000 under $30,000  nret_all  nret_all    8,824,548    8,832,897    8,349   0.1%   -0.8%  Number of returns
312            7         $30,000 under $40,000  nret_all  nret_all   15,209,009   15,193,800  -15,209  -0.1%  -11.1%  Number of returns
305            8         $40,000 under $50,000  nret_all  nret_all   11,915,599   11,903,683  -11,916  -0.1%   -5.9%  Number of returns
317            9         $50,000 under $75,000  nret_all  nret_all   20,958,446   20,937,487  -20,959  -0.1%   -0.9%  Number of returns
365           10        $75,000 under $100,000  nret_all  nret_all   13,508,353   13,494,845  -13,508  -0.1%   -3.6%  Number of returns
793           11       $100,000 under $200,000  nret_all  nret_all   19,951,450   19,951,591      141   0.0%    5.5%  Number of returns
779           12       $200,000 under $500,000  nret_all  nret_all    6,215,046    6,215,408      362   0.0%    6.3%  Number of returns
723           13     $500,000 under $1,000,000  nret_all  nret_all    1,010,203    1,010,581      378   0.0%    5.7%  Number of returns
472           14   $1,000,000 under $1,500,000  nret_all  nret_all      222,611      222,388     -223  -0.1%    6.0%  Number of returns
729           15   $1,500,000 under $2,000,000  nret_all  nret_all       90,527       90,556       29   0.0%   13.9%  Number of returns
615           16   $2,000,000 under $5,000,000  nret_all  nret_all      129,868      129,739     -129  -0.1%    6.1%  Number of returns
680           17  $5,000,000 under $10,000,000  nret_all  nret_all       31,628       31,649       21   0.1%   20.0%  Number of returns
764           18           $10,000,000 or more  nret_all  nret_all       20,223       20,220       -3  -0.0%   -0.8%  Number of returns

     common_stub                      incrange pufvar       irsvar      target         puf     diff  pdiff  ipdiff                   column_description
720            0                   All returns  mars1  nret_single  73,021,932  72,991,786  -30,146  -0.0%   -7.8%  Number of returns of single persons
672            1                  Under $5,000  mars1  nret_single   9,624,749   9,617,864   -6,885  -0.1%  -11.6%  Number of returns of single persons
726            2          $5,000 under $10,000  mars1  nret_single   8,354,084   8,357,060    2,976   0.0%  -12.8%  Number of returns of single persons
433            3         $10,000 under $15,000  mars1  nret_single   7,508,038   7,500,530   -7,508  -0.1%   -7.4%  Number of returns of single persons
224            4         $15,000 under $20,000  mars1  nret_single   6,275,620   6,281,896    6,276   0.1%   -3.2%  Number of returns of single persons
360            5         $20,000 under $25,000  mars1  nret_single   5,619,627   5,614,007   -5,620  -0.1%  -18.8%  Number of returns of single persons
250            6         $25,000 under $30,000  mars1  nret_single   4,879,918   4,884,798    4,880   0.1%   -8.2%  Number of returns of single persons
298            7         $30,000 under $40,000  mars1  nret_single   8,056,894   8,048,837   -8,057  -0.1%  -15.0%  Number of returns of single persons
322            8         $40,000 under $50,000  mars1  nret_single   6,021,209   6,015,188   -6,021  -0.1%   -9.4%  Number of returns of single persons
350            9         $50,000 under $75,000  mars1  nret_single   8,817,515   8,808,697   -8,818  -0.1%    2.5%  Number of returns of single persons
382           10        $75,000 under $100,000  mars1  nret_single   3,751,264   3,747,513   -3,751  -0.1%    0.4%  Number of returns of single persons
465           11       $100,000 under $200,000  mars1  nret_single   3,243,701   3,246,945    3,244   0.1%    6.4%  Number of returns of single persons
438           12       $200,000 under $500,000  mars1  nret_single     699,528     698,828     -700  -0.1%    7.3%  Number of returns of single persons
559           13     $500,000 under $1,000,000  mars1  nret_single     110,266     110,156     -110  -0.1%   13.7%  Number of returns of single persons
527           14   $1,000,000 under $1,500,000  mars1  nret_single      26,192      26,166      -26  -0.1%    7.3%  Number of returns of single persons
554           15   $1,500,000 under $2,000,000  mars1  nret_single      10,635      10,624      -11  -0.1%   19.3%  Number of returns of single persons
481           16   $2,000,000 under $5,000,000  mars1  nret_single      16,163      16,147      -16  -0.1%   16.2%  Number of returns of single persons
738           17  $5,000,000 under $10,000,000  mars1  nret_single       3,882       3,883        1   0.0%   35.4%  Number of returns of single persons
118           18           $10,000,000 or more  mars1  nret_single       2,646       2,649        3   0.1%    3.5%  Number of returns of single persons

     common_stub                      incrange pufvar      irsvar      target         puf     diff  pdiff  ipdiff                                                                    column_description
702            0                   All returns  mars2  nret_mfjss  54,774,397  54,746,989  -27,408  -0.1%   -2.6%  Number of returns of married persons filing jointly and returns of surviving spouses
687            1                  Under $5,000  mars2  nret_mfjss   1,380,491   1,381,316      825   0.1%  -31.5%  Number of returns of married persons filing jointly and returns of surviving spouses
632            2          $5,000 under $10,000  mars2  nret_mfjss     964,726     965,659      933   0.1%  -29.0%  Number of returns of married persons filing jointly and returns of surviving spouses
319            3         $10,000 under $15,000  mars2  nret_mfjss   1,320,912   1,319,591   -1,321  -0.1%  -25.0%  Number of returns of married persons filing jointly and returns of surviving spouses
389            4         $15,000 under $20,000  mars2  nret_mfjss   1,521,743   1,520,221   -1,522  -0.1%  -16.5%  Number of returns of married persons filing jointly and returns of surviving spouses
338            5         $20,000 under $25,000  mars2  nret_mfjss   1,797,799   1,796,001   -1,798  -0.1%  -21.7%  Number of returns of married persons filing jointly and returns of surviving spouses
478            6         $25,000 under $30,000  mars2  nret_mfjss   1,657,652   1,659,310    1,658   0.1%   18.3%  Number of returns of married persons filing jointly and returns of surviving spouses
336            7         $30,000 under $40,000  mars2  nret_mfjss   3,456,996   3,453,539   -3,457  -0.1%   -4.7%  Number of returns of married persons filing jointly and returns of surviving spouses
308            8         $40,000 under $50,000  mars2  nret_mfjss   3,372,258   3,368,886   -3,372  -0.1%   -2.0%  Number of returns of married persons filing jointly and returns of surviving spouses
314            9         $50,000 under $75,000  mars2  nret_mfjss   8,786,118   8,777,332   -8,786  -0.1%   -5.4%  Number of returns of married persons filing jointly and returns of surviving spouses
371           10        $75,000 under $100,000  mars2  nret_mfjss   8,396,454   8,388,057   -8,397  -0.1%   -6.4%  Number of returns of married persons filing jointly and returns of surviving spouses
745           11       $100,000 under $200,000  mars2  nret_mfjss  15,538,630  15,534,901   -3,729  -0.0%    5.4%  Number of returns of married persons filing jointly and returns of surviving spouses
744           12       $200,000 under $500,000  mars2  nret_mfjss   5,303,488   5,304,761    1,273   0.0%    5.8%  Number of returns of married persons filing jointly and returns of surviving spouses
684           13     $500,000 under $1,000,000  mars2  nret_mfjss     864,399     864,921      522   0.1%    5.1%  Number of returns of married persons filing jointly and returns of surviving spouses
447           14   $1,000,000 under $1,500,000  mars2  nret_mfjss     187,207     187,020     -187  -0.1%    6.1%  Number of returns of married persons filing jointly and returns of surviving spouses
688           15   $1,500,000 under $2,000,000  mars2  nret_mfjss      75,877      75,922       45   0.1%   13.6%  Number of returns of married persons filing jointly and returns of surviving spouses
401           16   $2,000,000 under $5,000,000  mars2  nret_mfjss     107,321     107,214     -107  -0.1%    4.9%  Number of returns of married persons filing jointly and returns of surviving spouses
666           17  $5,000,000 under $10,000,000  mars2  nret_mfjss      26,083      26,103       20   0.1%   18.0%  Number of returns of married persons filing jointly and returns of surviving spouses
717           18           $10,000,000 or more  mars2  nret_mfjss      16,242      16,235       -7  -0.0%   -0.5%  Number of returns of married persons filing jointly and returns of surviving spouses

     common_stub                      incrange pufvar    irsvar     target        puf    diff  pdiff  ipdiff                                      column_description
662            0                   All returns  mars3  nret_mfs  3,212,807  3,210,148  -2,659  -0.1%  -28.1%  Number of returns of married persons filing separately
721            1                  Under $5,000  mars3  nret_mfs    201,766    201,842      76   0.0%  -44.5%  Number of returns of married persons filing separately
655            2          $5,000 under $10,000  mars3  nret_mfs    144,723    144,851     128   0.1%  -20.3%  Number of returns of married persons filing separately
614            3         $10,000 under $15,000  mars3  nret_mfs    151,753    151,602    -151  -0.1%   12.8%  Number of returns of married persons filing separately
530            4         $15,000 under $20,000  mars3  nret_mfs    165,662    165,496    -166  -0.1%  -27.9%  Number of returns of married persons filing separately
329            5         $20,000 under $25,000  mars3  nret_mfs    208,854    208,645    -209  -0.1%  -44.7%  Number of returns of married persons filing separately
446            6         $25,000 under $30,000  mars3  nret_mfs    237,759    237,521    -238  -0.1%  -26.9%  Number of returns of married persons filing separately
337            7         $30,000 under $40,000  mars3  nret_mfs    441,031    440,590    -441  -0.1%  -37.5%  Number of returns of married persons filing separately
364            8         $40,000 under $50,000  mars3  nret_mfs    396,157    395,761    -396  -0.1%  -31.5%  Number of returns of married persons filing separately
324            9         $50,000 under $75,000  mars3  nret_mfs    635,460    634,825    -635  -0.1%  -29.5%  Number of returns of married persons filing separately
362           10        $75,000 under $100,000  mars3  nret_mfs    285,591    285,305    -286  -0.1%  -18.0%  Number of returns of married persons filing separately
460           11       $100,000 under $200,000  mars3  nret_mfs    271,847    271,575    -272  -0.1%  -31.0%  Number of returns of married persons filing separately
521           12       $200,000 under $500,000  mars3  nret_mfs     51,414     51,363     -51  -0.1%   19.0%  Number of returns of married persons filing separately
580           13     $500,000 under $1,000,000  mars3  nret_mfs     10,784     10,773     -11  -0.1%   21.2%  Number of returns of married persons filing separately
562           14   $1,000,000 under $1,500,000  mars3  nret_mfs      3,100      3,097      -3  -0.1%   31.5%  Number of returns of married persons filing separately
534           15   $1,500,000 under $2,000,000  mars3  nret_mfs      1,891      1,889      -2  -0.1%   12.8%  Number of returns of married persons filing separately
533           16   $2,000,000 under $5,000,000  mars3  nret_mfs      3,165      3,162      -3  -0.1%   11.8%  Number of returns of married persons filing separately
777           17  $5,000,000 under $10,000,000  mars3  nret_mfs        994        994       0   0.0%   31.2%  Number of returns of married persons filing separately
123           18           $10,000,000 or more  mars3  nret_mfs        855        856       1   0.1%  -21.2%  Number of returns of married persons filing separately

     common_stub                      incrange pufvar    irsvar      target         puf    diff  pdiff  ipdiff                        column_description
711            0                   All returns  mars4  nret_hoh  21,894,095  21,884,252  -9,843  -0.0%    4.2%  Number of returns of heads of households
739            1                  Under $5,000  mars4  nret_hoh     575,416     575,562     146   0.0%   26.9%  Number of returns of heads of households
625            2          $5,000 under $10,000  mars4  nret_hoh   1,326,029   1,324,730  -1,299  -0.1%   -7.4%  Number of returns of heads of households
408            3         $10,000 under $15,000  mars4  nret_hoh   2,613,933   2,611,319  -2,614  -0.1%    5.6%  Number of returns of heads of households
223            4         $15,000 under $20,000  mars4  nret_hoh   2,702,244   2,704,946   2,702   0.1%   19.9%  Number of returns of heads of households
348            5         $20,000 under $25,000  mars4  nret_hoh   2,357,549   2,355,191  -2,358  -0.1%  -11.8%  Number of returns of heads of households
335            6         $25,000 under $30,000  mars4  nret_hoh   2,049,219   2,051,268   2,049   0.1%    4.4%  Number of returns of heads of households
303            7         $30,000 under $40,000  mars4  nret_hoh   3,254,088   3,250,834  -3,254  -0.1%   -4.7%  Number of returns of heads of households
605            8         $40,000 under $50,000  mars4  nret_hoh   2,125,974   2,123,849  -2,125  -0.1%    2.7%  Number of returns of heads of households
604            9         $50,000 under $75,000  mars4  nret_hoh   2,719,352   2,716,634  -2,718  -0.1%    9.0%  Number of returns of heads of households
608           10        $75,000 under $100,000  mars4  nret_hoh   1,075,043   1,073,969  -1,074  -0.1%    7.4%  Number of returns of heads of households
526           11       $100,000 under $200,000  mars4  nret_hoh     897,273     898,170     897   0.1%   14.9%  Number of returns of heads of households
443           12       $200,000 under $500,000  mars4  nret_hoh     160,616     160,455    -161  -0.1%   14.6%  Number of returns of heads of households
391           13     $500,000 under $1,000,000  mars4  nret_hoh      24,755      24,730     -25  -0.1%  -17.9%  Number of returns of heads of households
342           14   $1,000,000 under $1,500,000  mars4  nret_hoh       6,112       6,106      -6  -0.1%  -17.2%  Number of returns of heads of households
514           15   $1,500,000 under $2,000,000  mars4  nret_hoh       2,123       2,121      -2  -0.1%   -4.7%  Number of returns of heads of households
442           16   $2,000,000 under $5,000,000  mars4  nret_hoh       3,220       3,217      -3  -0.1%  -10.6%  Number of returns of heads of households
781           17  $5,000,000 under $10,000,000  mars4  nret_hoh         669         669       0   0.0%   -6.7%  Number of returns of heads of households
111           18           $10,000,000 or more  mars4  nret_hoh         480         480       0   0.1%    0.0%  Number of returns of heads of households

     common_stub                      incrange  pufvar irsvar              target                 puf            diff  pdiff  ipdiff                  column_description
730            0                   All returns  c00100    agi  11,009,900,155,000  11,006,463,581,664  -3,436,573,336  -0.0%    1.7%  Adjusted gross income less deficit
669            1                  Under $5,000  c00100    agi    -207,008,365,000    -206,856,431,963     151,933,037  -0.1%  -71.0%  Adjusted gross income less deficit
697            2          $5,000 under $10,000  c00100    agi      81,447,661,000      81,404,888,369     -42,772,631  -0.1%  -14.5%  Adjusted gross income less deficit
204            3         $10,000 under $15,000  c00100    agi     145,001,169,000     145,146,171,631     145,002,631   0.1%   -5.4%  Adjusted gross income less deficit
225            4         $15,000 under $20,000  c00100    agi     186,097,793,000     186,283,892,661     186,099,661   0.1%   -0.1%  Adjusted gross income less deficit
230            5         $20,000 under $25,000  c00100    agi     224,218,126,000     224,442,346,376     224,220,376   0.1%  -18.0%  Adjusted gross income less deficit
246            6         $25,000 under $30,000  c00100    agi     242,450,897,000     242,693,350,327     242,453,327   0.1%   -1.0%  Adjusted gross income less deficit
252            7         $30,000 under $40,000  c00100    agi     529,629,959,000     530,159,594,263     529,635,263   0.1%  -11.1%  Adjusted gross income less deficit
725            8         $40,000 under $50,000  c00100    agi     533,337,760,000     533,528,222,452     190,462,452   0.0%   -5.9%  Adjusted gross income less deficit
678            9         $50,000 under $75,000  c00100    agi   1,286,848,073,000   1,287,716,137,745     868,064,745   0.1%   -0.7%  Adjusted gross income less deficit
670           10        $75,000 under $100,000  c00100    agi   1,170,354,458,000   1,171,211,632,210     857,174,210   0.1%   -3.3%  Adjusted gross income less deficit
285           11       $100,000 under $200,000  c00100    agi   2,707,840,958,000   2,705,133,089,996  -2,707,868,004  -0.1%    5.8%  Adjusted gross income less deficit
345           12       $200,000 under $500,000  c00100    agi   1,770,815,570,000   1,769,044,736,782  -1,770,833,218  -0.1%    6.0%  Adjusted gross income less deficit
485           13     $500,000 under $1,000,000  c00100    agi     679,941,585,000     679,261,636,720    -679,948,280  -0.1%    6.5%  Adjusted gross income less deficit
468           14   $1,000,000 under $1,500,000  c00100    agi     268,740,908,000     268,472,164,440    -268,743,560  -0.1%    6.7%  Adjusted gross income less deficit
439           15   $1,500,000 under $2,000,000  c00100    agi     155,813,355,000     155,657,540,103    -155,814,897  -0.1%   13.4%  Adjusted gross income less deficit
400           16   $2,000,000 under $5,000,000  c00100    agi     386,043,696,000     385,657,648,469    -386,047,531  -0.1%    6.4%  Adjusted gross income less deficit
656           17  $5,000,000 under $10,000,000  c00100    agi     216,163,537,000     215,976,114,057    -187,422,943  -0.1%   20.2%  Adjusted gross income less deficit
563           18           $10,000,000 or more  c00100    agi     632,163,016,000     631,530,847,028    -632,168,972  -0.1%  -28.3%  Adjusted gross income less deficit

     common_stub                      incrange  pufvar irsvar             target                puf            diff  pdiff  ipdiff  column_description
722            0                   All returns  e00200  wages  7,577,563,943,000  7,574,714,858,578  -2,849,084,422  -0.0%    1.3%  Salaries and wages
718            1                  Under $5,000  e00200  wages     45,624,860,000     45,643,801,208      18,941,208   0.0%  -26.2%  Salaries and wages
623            2          $5,000 under $10,000  e00200  wages     61,751,519,000     61,812,178,156      60,659,156   0.1%   -5.3%  Salaries and wages
295            3         $10,000 under $15,000  e00200  wages    102,641,467,000    102,538,824,508    -102,642,492  -0.1%  -10.2%  Salaries and wages
293            4         $15,000 under $20,000  e00200  wages    144,870,411,000    144,725,539,142    -144,871,858  -0.1%  -10.0%  Salaries and wages
287            5         $20,000 under $25,000  e00200  wages    182,708,792,000    182,526,081,383    -182,710,617  -0.1%  -25.9%  Salaries and wages
291            6         $25,000 under $30,000  e00200  wages    200,080,435,000    199,880,352,567    -200,082,433  -0.1%   -7.8%  Salaries and wages
288            7         $30,000 under $40,000  e00200  wages    441,282,302,000    440,841,015,291    -441,286,709  -0.1%  -16.7%  Salaries and wages
292            8         $40,000 under $50,000  e00200  wages    437,485,582,000    437,048,092,049    -437,489,951  -0.1%  -12.3%  Salaries and wages
286            9         $50,000 under $75,000  e00200  wages  1,000,500,360,000    999,499,849,647  -1,000,510,353  -0.1%   -4.8%  Salaries and wages
331           10        $75,000 under $100,000  e00200  wages    870,406,373,000    869,535,957,945    -870,415,055  -0.1%   -6.3%  Salaries and wages
271           11       $100,000 under $200,000  e00200  wages  2,015,029,480,000  2,017,044,529,636   2,015,049,636   0.1%    9.4%  Salaries and wages
375           12       $200,000 under $500,000  e00200  wages  1,206,754,121,000  1,205,547,354,869  -1,206,766,131  -0.1%   11.8%  Salaries and wages
406           13     $500,000 under $1,000,000  e00200  wages    379,375,686,000    378,996,306,546    -379,379,454  -0.1%   12.1%  Salaries and wages
262           14   $1,000,000 under $1,500,000  e00200  wages    121,320,814,000    121,442,136,028     121,322,028   0.1%   14.9%  Salaries and wages
403           15   $1,500,000 under $2,000,000  e00200  wages     62,643,611,000     62,580,966,767     -62,644,233  -0.1%   20.8%  Salaries and wages
330           16   $2,000,000 under $5,000,000  e00200  wages    134,372,608,000    134,238,234,052    -134,373,948  -0.1%    4.4%  Salaries and wages
766           17  $5,000,000 under $10,000,000  e00200  wages     64,755,746,000     64,747,902,779      -7,843,221  -0.0%   30.7%  Salaries and wages
115           18           $10,000,000 or more  e00200  wages    105,959,775,000    106,065,736,005     105,961,005   0.1%   -1.5%  Salaries and wages

     common_stub                      incrange      pufvar      irsvar       target          puf     diff  pdiff  ipdiff                         column_description
671            0                   All returns  e00200_nnz  nret_wages  126,264,481  126,356,297   91,816   0.1%   -4.8%  Number of returns with salaries and wages
650            1                  Under $5,000  e00200_nnz  nret_wages    7,498,743    7,505,588    6,845   0.1%    1.5%  Number of returns with salaries and wages
792            2          $5,000 under $10,000  e00200_nnz  nret_wages    8,269,276    8,269,348       72   0.0%   -1.5%  Number of returns with salaries and wages
238            3         $10,000 under $15,000  e00200_nnz  nret_wages    8,640,300    8,648,940    8,640   0.1%   -7.3%  Number of returns with salaries and wages
229            4         $15,000 under $20,000  e00200_nnz  nret_wages    8,574,161    8,582,735    8,574   0.1%   -5.3%  Number of returns with salaries and wages
256            5         $20,000 under $25,000  e00200_nnz  nret_wages    8,364,949    8,373,314    8,365   0.1%  -23.2%  Number of returns with salaries and wages
254            6         $25,000 under $30,000  e00200_nnz  nret_wages    7,546,010    7,553,556    7,546   0.1%   -5.2%  Number of returns with salaries and wages
272            7         $30,000 under $40,000  e00200_nnz  nret_wages   13,247,533   13,260,781   13,248   0.1%  -15.4%  Number of returns with salaries and wages
270            8         $40,000 under $50,000  e00200_nnz  nret_wages   10,403,747   10,414,151   10,404   0.1%  -10.4%  Number of returns with salaries and wages
257            9         $50,000 under $75,000  e00200_nnz  nret_wages   17,936,912   17,954,849   17,937   0.1%   -3.4%  Number of returns with salaries and wages
359           10        $75,000 under $100,000  e00200_nnz  nret_wages   11,528,881   11,517,352  -11,529  -0.1%   -5.9%  Number of returns with salaries and wages
583           11       $100,000 under $200,000  e00200_nnz  nret_wages   17,460,941   17,478,402   17,461   0.1%    7.2%  Number of returns with salaries and wages
263           12       $200,000 under $500,000  e00200_nnz  nret_wages    5,511,434    5,516,945    5,511   0.1%    8.5%  Number of returns with salaries and wages
448           13     $500,000 under $1,000,000  e00200_nnz  nret_wages      871,177      870,306     -871  -0.1%    5.6%  Number of returns with salaries and wages
397           14   $1,000,000 under $1,500,000  e00200_nnz  nret_wages      187,004      186,817     -187  -0.1%    3.5%  Number of returns with salaries and wages
410           15   $1,500,000 under $2,000,000  e00200_nnz  nret_wages       74,469       74,395      -74  -0.1%   12.6%  Number of returns with salaries and wages
392           16   $2,000,000 under $5,000,000  e00200_nnz  nret_wages      106,641      106,534     -107  -0.1%    2.5%  Number of returns with salaries and wages
784           17  $5,000,000 under $10,000,000  e00200_nnz  nret_wages       25,938       25,937       -1  -0.0%   17.6%  Number of returns with salaries and wages
576           18           $10,000,000 or more  e00200_nnz  nret_wages       16,364       16,348      -16  -0.1%    0.3%  Number of returns with salaries and wages

     common_stub                      incrange  pufvar  irsvar           target              puf         diff  pdiff  ipdiff column_description
767            0                   All returns  e00300  taxint  106,055,367,000  106,067,891,500   12,524,500   0.0%    0.0%   Taxable interest
755            1                  Under $5,000  e00300  taxint    6,313,334,000    6,312,119,903   -1,214,097  -0.0%  -41.4%   Taxable interest
622            2          $5,000 under $10,000  e00300  taxint      750,884,000      750,146,162     -737,838  -0.1%  -26.6%   Taxable interest
110            3         $10,000 under $15,000  e00300  taxint      910,294,000      911,204,305      910,305   0.1%   58.5%   Taxable interest
128            4         $15,000 under $20,000  e00300  taxint    1,023,518,000    1,024,541,529    1,023,529   0.1%   82.5%   Taxable interest
