
Regrown reweighted puf, lsq method, compared to IRS values, run on 2020-11-16

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

     common_stub         pufvar              target                 puf             diff  pdiff  ipdiff                                                                    column_description
549          0.0     c19700_nnz          37,979,015          38,201,748          222,733   0.6%    3.7%                                        Number of returns with contributions deduction

2. Detailed report by AGI range for each variable:

     common_stub    pufvar       target          puf diff  pdiff  ipdiff column_description
562          0.0  nret_all  152,903,231  152,903,232    1   0.0%   -4.6%  Number of returns
86           1.0  nret_all   11,782,422   11,782,422    0   0.0%  -12.7%  Number of returns
18           2.0  nret_all   10,789,563   10,789,563    0   0.0%  -13.7%  Number of returns
120          3.0  nret_all   11,594,637   11,594,637    0   0.0%   -6.2%  Number of returns
290          4.0  nret_all   10,665,270   10,665,270   -0  -0.0%    0.4%  Number of returns
256          5.0  nret_all    9,983,829    9,983,829    0   0.0%  -18.2%  Number of returns
494          6.0  nret_all    8,824,548    8,824,548   -0  -0.0%   -0.8%  Number of returns
528          7.0  nret_all   15,209,009   15,209,009    0   0.0%  -11.1%  Number of returns
596          8.0  nret_all   11,915,599   11,915,599   -0  -0.0%   -5.9%  Number of returns
426          9.0  nret_all   20,958,446   20,958,446   -0  -0.0%   -0.9%  Number of returns
460         10.0  nret_all   13,508,353   13,508,353    0   0.0%   -3.6%  Number of returns
324         11.0  nret_all   19,951,450   19,951,450    0   0.0%    5.5%  Number of returns
52          12.0  nret_all    6,215,046    6,215,046    0   0.0%    6.3%  Number of returns
392         13.0  nret_all    1,010,203    1,010,203    0   0.0%    5.7%  Number of returns
188         14.0  nret_all      222,611      222,611   -0  -0.0%    6.0%  Number of returns
222         15.0  nret_all       90,527       90,527   -0  -0.0%   13.9%  Number of returns
358         16.0  nret_all      129,868      129,868   -0  -0.0%    6.1%  Number of returns
154         17.0  nret_all       31,628       31,628   -0  -0.0%   20.0%  Number of returns
630         18.0  nret_all       20,223       20,223   -0  -0.0%   -0.8%  Number of returns

     common_stub pufvar      target         puf diff  pdiff  ipdiff                   column_description
557          0.0  mars1  73,021,932  73,021,931   -1  -0.0%   -7.8%  Number of returns of single persons
81           1.0  mars1   9,624,749   9,624,749    0   0.0%  -11.6%  Number of returns of single persons
13           2.0  mars1   8,354,084   8,354,084    0   0.0%  -12.8%  Number of returns of single persons
115          3.0  mars1   7,508,038   7,508,038   -0  -0.0%   -7.4%  Number of returns of single persons
285          4.0  mars1   6,275,620   6,275,620   -0  -0.0%   -3.2%  Number of returns of single persons
251          5.0  mars1   5,619,627   5,619,627   -0  -0.0%  -18.8%  Number of returns of single persons
489          6.0  mars1   4,879,918   4,879,918    0   0.0%   -8.2%  Number of returns of single persons
523          7.0  mars1   8,056,894   8,056,894   -0  -0.0%  -15.0%  Number of returns of single persons
591          8.0  mars1   6,021,209   6,021,209   -0  -0.0%   -9.4%  Number of returns of single persons
421          9.0  mars1   8,817,515   8,817,515   -0  -0.0%    2.5%  Number of returns of single persons
455         10.0  mars1   3,751,264   3,751,264    0   0.0%    0.4%  Number of returns of single persons
319         11.0  mars1   3,243,701   3,243,701    0   0.0%    6.4%  Number of returns of single persons
47          12.0  mars1     699,528     699,528   -0  -0.0%    7.3%  Number of returns of single persons
387         13.0  mars1     110,266     110,266   -0  -0.0%   13.7%  Number of returns of single persons
183         14.0  mars1      26,192      26,192    0   0.0%    7.3%  Number of returns of single persons
217         15.0  mars1      10,635      10,635    0   0.0%   19.3%  Number of returns of single persons
353         16.0  mars1      16,163      16,163    0   0.0%   16.2%  Number of returns of single persons
149         17.0  mars1       3,882       3,882    0   0.0%   35.4%  Number of returns of single persons
625         18.0  mars1       2,646       2,646   -0  -0.0%    3.5%  Number of returns of single persons

     common_stub pufvar      target         puf diff  pdiff  ipdiff                                                                    column_description
556          0.0  mars2  54,774,397  54,774,396   -1  -0.0%   -2.6%  Number of returns of married persons filing jointly and returns of surviving spouses
80           1.0  mars2   1,380,491   1,380,491    0   0.0%  -31.5%  Number of returns of married persons filing jointly and returns of surviving spouses
12           2.0  mars2     964,726     964,726    0   0.0%  -29.0%  Number of returns of married persons filing jointly and returns of surviving spouses
114          3.0  mars2   1,320,912   1,320,912   -0  -0.0%  -25.0%  Number of returns of married persons filing jointly and returns of surviving spouses
284          4.0  mars2   1,521,743   1,521,743   -0  -0.0%  -16.5%  Number of returns of married persons filing jointly and returns of surviving spouses
250          5.0  mars2   1,797,799   1,797,799    0   0.0%  -21.7%  Number of returns of married persons filing jointly and returns of surviving spouses
488          6.0  mars2   1,657,652   1,657,652    0   0.0%   18.3%  Number of returns of married persons filing jointly and returns of surviving spouses
522          7.0  mars2   3,456,996   3,456,996   -0  -0.0%   -4.7%  Number of returns of married persons filing jointly and returns of surviving spouses
590          8.0  mars2   3,372,258   3,372,258   -0  -0.0%   -2.0%  Number of returns of married persons filing jointly and returns of surviving spouses
420          9.0  mars2   8,786,118   8,786,118    0   0.0%   -5.4%  Number of returns of married persons filing jointly and returns of surviving spouses
454         10.0  mars2   8,396,454   8,396,454    0   0.0%   -6.4%  Number of returns of married persons filing jointly and returns of surviving spouses
318         11.0  mars2  15,538,630  15,538,630    0   0.0%    5.4%  Number of returns of married persons filing jointly and returns of surviving spouses
46          12.0  mars2   5,303,488   5,303,488    0   0.0%    5.8%  Number of returns of married persons filing jointly and returns of surviving spouses
386         13.0  mars2     864,399     864,399    0   0.0%    5.1%  Number of returns of married persons filing jointly and returns of surviving spouses
182         14.0  mars2     187,207     187,207   -0  -0.0%    6.1%  Number of returns of married persons filing jointly and returns of surviving spouses
216         15.0  mars2      75,877      75,877   -0  -0.0%   13.6%  Number of returns of married persons filing jointly and returns of surviving spouses
352         16.0  mars2     107,321     107,321   -0  -0.0%    4.9%  Number of returns of married persons filing jointly and returns of surviving spouses
148         17.0  mars2      26,083      26,083   -0  -0.0%   18.0%  Number of returns of married persons filing jointly and returns of surviving spouses
624         18.0  mars2      16,242      16,242   -0  -0.0%   -0.5%  Number of returns of married persons filing jointly and returns of surviving spouses

     common_stub pufvar     target        puf diff  pdiff  ipdiff                                      column_description
551          0.0  mars3  3,212,807  3,212,810    3   0.0%  -28.1%  Number of returns of married persons filing separately
75           1.0  mars3    201,766    201,766    0   0.0%  -44.5%  Number of returns of married persons filing separately
7            2.0  mars3    144,723    144,724    1   0.0%  -20.3%  Number of returns of married persons filing separately
109          3.0  mars3    151,753    151,754    1   0.0%   12.8%  Number of returns of married persons filing separately
279          4.0  mars3    165,662    165,663    1   0.0%  -27.9%  Number of returns of married persons filing separately
245          5.0  mars3    208,854    208,854    0   0.0%  -44.7%  Number of returns of married persons filing separately
483          6.0  mars3    237,759    237,759   -0  -0.0%  -26.9%  Number of returns of married persons filing separately
517          7.0  mars3    441,031    441,031    0   0.0%  -37.5%  Number of returns of married persons filing separately
585          8.0  mars3    396,157    396,158    1   0.0%  -31.5%  Number of returns of married persons filing separately
415          9.0  mars3    635,460    635,461    1   0.0%  -29.5%  Number of returns of married persons filing separately
449         10.0  mars3    285,591    285,592    1   0.0%  -18.0%  Number of returns of married persons filing separately
313         11.0  mars3    271,847    271,846   -1  -0.0%  -31.0%  Number of returns of married persons filing separately
41          12.0  mars3     51,414     51,414   -0  -0.0%   19.0%  Number of returns of married persons filing separately
381         13.0  mars3     10,784     10,783   -1  -0.0%   21.2%  Number of returns of married persons filing separately
177         14.0  mars3      3,100      3,100    0   0.0%   31.5%  Number of returns of married persons filing separately
211         15.0  mars3      1,891      1,892    1   0.1%   12.8%  Number of returns of married persons filing separately
347         16.0  mars3      3,165      3,164   -1  -0.0%   11.8%  Number of returns of married persons filing separately
143         17.0  mars3        994        994    0   0.0%   31.2%  Number of returns of married persons filing separately
619         18.0  mars3        855        855   -0  -0.0%  -21.2%  Number of returns of married persons filing separately

     common_stub pufvar      target         puf diff  pdiff  ipdiff                        column_description
570          0.0  mars4  21,894,095  21,894,095   -0  -0.0%    4.2%  Number of returns of heads of households
94           1.0  mars4     575,416     575,416    0   0.0%   26.9%  Number of returns of heads of households
26           2.0  mars4   1,326,029   1,326,029   -0  -0.0%   -7.4%  Number of returns of heads of households
128          3.0  mars4   2,613,933   2,613,933    0   0.0%    5.6%  Number of returns of heads of households
298          4.0  mars4   2,702,244   2,702,244   -0  -0.0%   19.9%  Number of returns of heads of households
264          5.0  mars4   2,357,549   2,357,549   -0  -0.0%  -11.8%  Number of returns of heads of households
502          6.0  mars4   2,049,219   2,049,219   -0  -0.0%    4.4%  Number of returns of heads of households
536          7.0  mars4   3,254,088   3,254,088   -0  -0.0%   -4.7%  Number of returns of heads of households
604          8.0  mars4   2,125,974   2,125,974    0   0.0%    2.7%  Number of returns of heads of households
434          9.0  mars4   2,719,352   2,719,352    0   0.0%    9.0%  Number of returns of heads of households
468         10.0  mars4   1,075,043   1,075,043   -0  -0.0%    7.4%  Number of returns of heads of households
332         11.0  mars4     897,273     897,273   -0  -0.0%   14.9%  Number of returns of heads of households
60          12.0  mars4     160,616     160,616   -0  -0.0%   14.6%  Number of returns of heads of households
400         13.0  mars4      24,755      24,755   -0  -0.0%  -17.9%  Number of returns of heads of households
196         14.0  mars4       6,112       6,112    0   0.0%  -17.2%  Number of returns of heads of households
230         15.0  mars4       2,123       2,123    0   0.0%   -4.7%  Number of returns of heads of households
366         16.0  mars4       3,220       3,220    0   0.0%  -10.6%  Number of returns of heads of households
162         17.0  mars4         669         669    0   0.0%   -6.7%  Number of returns of heads of households
638         18.0  mars4         480         480   -0  -0.0%    0.0%  Number of returns of heads of households

     common_stub  pufvar              target                 puf   diff  pdiff  ipdiff                  column_description
572          0.0  c00100  11,009,900,155,000  11,009,900,156,000  1,000   0.0%    1.7%  Adjusted gross income less deficit
96           1.0  c00100    -207,008,365,000    -207,008,365,000     -0   0.0%  -71.0%  Adjusted gross income less deficit
28           2.0  c00100      81,447,661,000      81,447,661,000      0   0.0%  -14.5%  Adjusted gross income less deficit
130          3.0  c00100     145,001,169,000     145,001,169,000      0   0.0%   -5.4%  Adjusted gross income less deficit
300          4.0  c00100     186,097,793,000     186,097,793,000     -0  -0.0%   -0.1%  Adjusted gross income less deficit
266          5.0  c00100     224,218,126,000     224,218,126,000      0   0.0%  -18.0%  Adjusted gross income less deficit
504          6.0  c00100     242,450,897,000     242,450,897,000      0   0.0%   -1.0%  Adjusted gross income less deficit
538          7.0  c00100     529,629,959,000     529,629,959,000     -0  -0.0%  -11.1%  Adjusted gross income less deficit
606          8.0  c00100     533,337,760,000     533,337,760,000      0   0.0%   -5.9%  Adjusted gross income less deficit
436          9.0  c00100   1,286,848,073,000   1,286,848,073,000      0   0.0%   -0.7%  Adjusted gross income less deficit
470         10.0  c00100   1,170,354,458,000   1,170,354,458,000     -0  -0.0%   -3.3%  Adjusted gross income less deficit
334         11.0  c00100   2,707,840,958,000   2,707,840,958,000     -0  -0.0%    5.8%  Adjusted gross income less deficit
62          12.0  c00100   1,770,815,570,000   1,770,815,570,000     -0  -0.0%    6.0%  Adjusted gross income less deficit
402         13.0  c00100     679,941,585,000     679,941,585,000      0   0.0%    6.5%  Adjusted gross income less deficit
198         14.0  c00100     268,740,908,000     268,740,908,000     -0  -0.0%    6.7%  Adjusted gross income less deficit
232         15.0  c00100     155,813,355,000     155,813,355,000     -0  -0.0%   13.4%  Adjusted gross income less deficit
368         16.0  c00100     386,043,696,000     386,043,696,000      0   0.0%    6.4%  Adjusted gross income less deficit
164         17.0  c00100     216,163,537,000     216,163,537,000      0   0.0%   20.2%  Adjusted gross income less deficit
640         18.0  c00100     632,163,016,000     632,163,016,000     -0  -0.0%  -28.3%  Adjusted gross income less deficit

     common_stub  pufvar             target                puf    diff  pdiff  ipdiff  column_description
571          0.0  e00200  7,577,563,943,000  7,577,563,942,000  -1,000  -0.0%    1.3%  Salaries and wages
95           1.0  e00200     45,624,860,000     45,624,860,000      -0  -0.0%  -26.2%  Salaries and wages
27           2.0  e00200     61,751,519,000     61,751,519,000      -0  -0.0%   -5.3%  Salaries and wages
129          3.0  e00200    102,641,467,000    102,641,467,000      -0  -0.0%  -10.2%  Salaries and wages
299          4.0  e00200    144,870,411,000    144,870,411,000      -0  -0.0%  -10.0%  Salaries and wages
265          5.0  e00200    182,708,792,000    182,708,792,000       0   0.0%  -25.9%  Salaries and wages
503          6.0  e00200    200,080,435,000    200,080,435,000       0   0.0%   -7.8%  Salaries and wages
537          7.0  e00200    441,282,302,000    441,282,302,000       0   0.0%  -16.7%  Salaries and wages
605          8.0  e00200    437,485,582,000    437,485,582,000      -0  -0.0%  -12.3%  Salaries and wages
435          9.0  e00200  1,000,500,360,000  1,000,500,360,000       0   0.0%   -4.8%  Salaries and wages
469         10.0  e00200    870,406,373,000    870,406,373,000      -0  -0.0%   -6.3%  Salaries and wages
333         11.0  e00200  2,015,029,480,000  2,015,029,480,000      -0  -0.0%    9.4%  Salaries and wages
61          12.0  e00200  1,206,754,121,000  1,206,754,121,000      -0  -0.0%   11.8%  Salaries and wages
401         13.0  e00200    379,375,686,000    379,375,686,000      -0  -0.0%   12.1%  Salaries and wages
197         14.0  e00200    121,320,814,000    121,320,814,000      -0  -0.0%   14.9%  Salaries and wages
231         15.0  e00200     62,643,611,000     62,643,611,000      -0  -0.0%   20.8%  Salaries and wages
367         16.0  e00200    134,372,608,000    134,372,608,000      -0  -0.0%    4.4%  Salaries and wages
163         17.0  e00200     64,755,746,000     64,755,746,000       0   0.0%   30.7%  Salaries and wages
639         18.0  e00200    105,959,775,000    105,959,775,000      -0  -0.0%   -1.5%  Salaries and wages

     common_stub      pufvar       target          puf diff  pdiff  ipdiff                         column_description
561          0.0  e00200_nnz  126,264,481  126,264,480   -1  -0.0%   -4.8%  Number of returns with salaries and wages
85           1.0  e00200_nnz    7,498,743    7,498,743    0   0.0%    1.5%  Number of returns with salaries and wages
17           2.0  e00200_nnz    8,269,276    8,269,276    0   0.0%   -1.5%  Number of returns with salaries and wages
119          3.0  e00200_nnz    8,640,300    8,640,300   -0  -0.0%   -7.3%  Number of returns with salaries and wages
289          4.0  e00200_nnz    8,574,161    8,574,161   -0  -0.0%   -5.3%  Number of returns with salaries and wages
255          5.0  e00200_nnz    8,364,949    8,364,949    0   0.0%  -23.2%  Number of returns with salaries and wages
493          6.0  e00200_nnz    7,546,010    7,546,010    0   0.0%   -5.2%  Number of returns with salaries and wages
527          7.0  e00200_nnz   13,247,533   13,247,533    0   0.0%  -15.4%  Number of returns with salaries and wages
595          8.0  e00200_nnz   10,403,747   10,403,747   -0  -0.0%  -10.4%  Number of returns with salaries and wages
425          9.0  e00200_nnz   17,936,912   17,936,912   -0  -0.0%   -3.4%  Number of returns with salaries and wages
459         10.0  e00200_nnz   11,528,881   11,528,881    0   0.0%   -5.9%  Number of returns with salaries and wages
323         11.0  e00200_nnz   17,460,941   17,460,941    0   0.0%    7.2%  Number of returns with salaries and wages
51          12.0  e00200_nnz    5,511,434    5,511,434    0   0.0%    8.5%  Number of returns with salaries and wages
391         13.0  e00200_nnz      871,177      871,177    0   0.0%    5.6%  Number of returns with salaries and wages
187         14.0  e00200_nnz      187,004      187,004   -0  -0.0%    3.5%  Number of returns with salaries and wages
221         15.0  e00200_nnz       74,469       74,469   -0  -0.0%   12.6%  Number of returns with salaries and wages
357         16.0  e00200_nnz      106,641      106,641   -0  -0.0%    2.5%  Number of returns with salaries and wages
153         17.0  e00200_nnz       25,938       25,938   -0  -0.0%   17.6%  Number of returns with salaries and wages
629         18.0  e00200_nnz       16,364       16,364   -0  -0.0%    0.3%  Number of returns with salaries and wages

     common_stub  pufvar           target              puf   diff  pdiff  ipdiff column_description
559          0.0  e00300  106,055,367,000  106,055,368,000  1,000   0.0%    0.0%   Taxable interest
83           1.0  e00300    6,313,334,000    6,313,334,000     -0  -0.0%  -41.4%   Taxable interest
15           2.0  e00300      750,884,000      750,884,000      0   0.0%  -26.6%   Taxable interest
117          3.0  e00300      910,294,000      910,294,000     -0  -0.0%   58.5%   Taxable interest
287          4.0  e00300    1,023,518,000    1,023,518,000     -0  -0.0%   82.5%   Taxable interest
253          5.0  e00300    1,022,021,000    1,022,021,000      0   0.0%  109.3%   Taxable interest
491          6.0  e00300      941,757,000      941,757,000     -0  -0.0%  122.5%   Taxable interest
525          7.0  e00300    1,942,630,000    1,942,630,000     -0  -0.0%   81.5%   Taxable interest
593          8.0  e00300    1,735,295,000    1,735,295,000      0   0.0%   99.7%   Taxable interest
423          9.0  e00300    5,574,683,000    5,574,683,000      0   0.0%   60.0%   Taxable interest
457         10.0  e00300    5,046,194,000    5,046,194,000     -0  -0.0%   59.9%   Taxable interest
321         11.0  e00300   14,295,833,000   14,295,833,000     -0  -0.0%   23.0%   Taxable interest
49          12.0  e00300   14,390,980,000   14,390,980,000     -0  -0.0%   -2.8%   Taxable interest
389         13.0  e00300    8,601,677,000    8,601,677,000      0   0.0%    8.0%   Taxable interest
185         14.0  e00300    4,459,093,000    4,459,093,000     -0  -0.0%   -6.4%   Taxable interest
219         15.0  e00300    2,988,390,000    2,988,390,000     -0  -0.0%    0.3%   Taxable interest
355         16.0  e00300    8,879,902,000    8,879,902,000     -0  -0.0%  -13.1%   Taxable interest
151         17.0  e00300    5,684,017,000    5,684,017,000      0   0.0%   -9.8%   Taxable interest
627         18.0  e00300   21,494,866,000   21,494,866,000      0   0.0%  -56.1%   Taxable interest

     common_stub      pufvar      target         puf diff  pdiff  ipdiff                       column_description
555          0.0  e00300_nnz  44,193,009  44,193,008   -1  -0.0%   21.0%  Number of returns with taxable interest
79           1.0  e00300_nnz   2,116,158   2,116,158    0   0.0%  -15.4%  Number of returns with taxable interest
11           2.0  e00300_nnz   1,334,991   1,334,991   -0  -0.0%  -11.4%  Number of returns with taxable interest
113          3.0  e00300_nnz   1,452,616   1,452,616    0   0.0%   22.3%  Number of returns with taxable interest
283          4.0  e00300_nnz   1,366,790   1,366,790   -0  -0.0%   31.8%  Number of returns with taxable interest
249          5.0  e00300_nnz   1,433,085   1,433,085    0   0.0%   16.1%  Number of returns with taxable interest
487          6.0  e00300_nnz   1,326,946   1,326,946    0   0.0%   50.1%  Number of returns with taxable interest
521          7.0  e00300_nnz   2,719,924   2,719,924    0   0.0%   30.1%  Number of returns with taxable interest
589          8.0  e00300_nnz   2,704,026   2,704,026   -0  -0.0%   30.7%  Number of returns with taxable interest
419          9.0  e00300_nnz   6,608,661   6,608,661   -0  -0.0%   26.4%  Number of returns with taxable interest
453         10.0  e00300_nnz   5,854,757   5,854,757    0   0.0%   19.9%  Number of returns with taxable interest
317         11.0  e00300_nnz  11,121,958  11,121,958    0   0.0%   23.9%  Number of returns with taxable interest
45          12.0  e00300_nnz   4,755,311   4,755,311    0   0.0%   16.4%  Number of returns with taxable interest
385         13.0  e00300_nnz     918,148     918,148    0   0.0%    9.0%  Number of returns with taxable interest
181         14.0  e00300_nnz     213,278     213,278   -0  -0.0%    7.0%  Number of returns with taxable interest
215         15.0  e00300_nnz      87,836      87,836   -0  -0.0%   15.0%  Number of returns with taxable interest
351         16.0  e00300_nnz     127,158     127,158   -0  -0.0%    6.8%  Number of returns with taxable interest
147         17.0  e00300_nnz      31,277      31,277   -0  -0.0%   19.9%  Number of returns with taxable interest
623         18.0  e00300_nnz      20,088      20,088   -0  -0.0%   -1.2%  Number of returns with taxable interest

     common_stub  pufvar           target              puf diff  pdiff  ipdiff  column_description
577          0.0  e00600  282,336,042,000  282,336,042,000   -0  -0.0%    2.9%  Ordinary dividends
101          1.0  e00600    6,297,087,000    6,297,087,000    0   0.0%  -47.8%  Ordinary dividends
33           2.0  e00600    1,282,506,000    1,282,506,000   -0  -0.0%  -22.3%  Ordinary dividends
135          3.0  e00600    1,834,544,000    1,834,544,000    0   0.0%   22.2%  Ordinary dividends
305          4.0  e00600    1,830,363,000    1,830,363,000   -0  -0.0%   63.3%  Ordinary dividends
271          5.0  e00600    1,903,404,000    1,903,404,000    0   0.0%   17.9%  Ordinary dividends
509          6.0  e00600    1,924,456,000    1,924,456,000   -0  -0.0%   35.5%  Ordinary dividends
543          7.0  e00600    4,106,378,000    4,106,378,000   -0  -0.0%   75.8%  Ordinary dividends
611          8.0  e00600    3,903,451,000    3,903,451,000   -0  -0.0%  102.0%  Ordinary dividends
441          9.0  e00600   13,168,278,000   13,168,278,000    0   0.0%   56.4%  Ordinary dividends
475         10.0  e00600   15,424,556,000   15,424,556,000   -0  -0.0%   28.6%  Ordinary dividends
339         11.0  e00600   46,748,395,000   46,748,395,000   -0  -0.0%    7.3%  Ordinary dividends
67          12.0  e00600   53,605,486,000   53,605,486,000   -0  -0.0%  -11.3%  Ordinary dividends
407         13.0  e00600   28,937,256,000   28,937,256,000    0   0.0%    4.6%  Ordinary dividends
203         14.0  e00600   13,010,147,000   13,010,147,000   -0  -0.0%    5.2%  Ordinary dividends
237         15.0  e00600    8,391,122,000    8,391,122,000   -0  -0.0%   25.4%  Ordinary dividends
373         16.0  e00600   22,009,340,000   22,009,340,000   -0  -0.0%   12.2%  Ordinary dividends
169         17.0  e00600   13,243,761,000   13,243,761,000    0   0.0%   28.8%  Ordinary dividends
645         18.0  e00600   44,715,512,000   44,715,512,000   -0  -0.0%  -40.2%  Ordinary dividends

     common_stub      pufvar      target         puf diff  pdiff  ipdiff                         column_description
554          0.0  e00600_nnz  28,171,331  28,171,329   -2  -0.0%    4.4%  Number of returns with ordinary dividends
78           1.0  e00600_nnz   1,364,222   1,364,222    0   0.0%  -33.9%  Number of returns with ordinary dividends
10           2.0  e00600_nnz     815,099     815,099   -0  -0.0%  -34.1%  Number of returns with ordinary dividends
112          3.0  e00600_nnz     875,416     875,416    0   0.0%   -6.7%  Number of returns with ordinary dividends
282          4.0  e00600_nnz     794,490     794,490   -0  -0.0%    9.8%  Number of returns with ordinary dividends
248          5.0  e00600_nnz     775,451     775,451    0   0.0%   -0.8%  Number of returns with ordinary dividends
486          6.0  e00600_nnz     744,390     744,390    0   0.0%   22.6%  Number of returns with ordinary dividends
520          7.0  e00600_nnz   1,499,953   1,499,953   -0  -0.0%   11.7%  Number of returns with ordinary dividends
588          8.0  e00600_nnz   1,448,472   1,448,472   -0  -0.0%   18.6%  Number of returns with ordinary dividends
418          9.0  e00600_nnz   3,812,081   3,812,081   -0  -0.0%    9.4%  Number of returns with ordinary dividends
452         10.0  e00600_nnz   3,510,707   3,510,707    0   0.0%    7.5%  Number of returns with ordinary dividends
316         11.0  e00600_nnz   7,416,984   7,416,984    0   0.0%    6.4%  Number of returns with ordinary dividends
44          12.0  e00600_nnz   3,869,169   3,869,169    0   0.0%    4.4%  Number of returns with ordinary dividends
384         13.0  e00600_nnz     810,519     810,519    0   0.0%    4.2%  Number of returns with ordinary dividends
180         14.0  e00600_nnz     188,882     188,882   -0  -0.0%    6.0%  Number of returns with ordinary dividends
214         15.0  e00600_nnz      79,972      79,972   -0  -0.0%   15.3%  Number of returns with ordinary dividends
350         16.0  e00600_nnz     116,753     116,753   -0  -0.0%    6.7%  Number of returns with ordinary dividends
146         17.0  e00600_nnz      29,452      29,452   -0  -0.0%   20.5%  Number of returns with ordinary dividends
622         18.0  e00600_nnz      19,317      19,317   -0  -0.0%   -1.5%  Number of returns with ordinary dividends

     common_stub     pufvar           target              puf   diff  pdiff  ipdiff           column_description
567          0.0  c01000pos  859,894,631,000  859,894,632,000  1,000   0.0%   -0.4%  Capital gains gross taxable
91           1.0  c01000pos   19,771,923,000   19,771,923,000     -0  -0.0%  -65.9%  Capital gains gross taxable
