
Regrown reweighted puf, lsq method, compared to IRS values, run on 2020-11-15

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

    common_stub     incrange         pufvar                  irsvar                 irs                  puf                 diff    pdiff  ipdiff                                                                    column_description
14            0  All returns     c19700_nnz   nret_id_contributions          37,979,015        1,421,761,184        1,383,782,169  3643.5%    3.7%                                        Number of returns with contributions deduction

2. Detailed report by AGI range for each variable:

     common_stub                      incrange    pufvar    irsvar          irs            puf           diff    pdiff  ipdiff column_description
33             0                   All returns  nret_all  nret_all  152,903,231  5,215,964,066  5,063,060,835  3311.3%   -4.6%  Number of returns
67             1                  Under $5,000  nret_all  nret_all   11,782,422     11,782,422              0     0.0%  -12.7%  Number of returns
101            2          $5,000 under $10,000  nret_all  nret_all   10,789,563    512,515,928    501,726,365  4650.1%  -13.7%  Number of returns
135            3         $10,000 under $15,000  nret_all  nret_all   11,594,637    630,933,241    619,338,604  5341.6%   -6.2%  Number of returns
169            4         $15,000 under $20,000  nret_all  nret_all   10,665,270    414,455,902    403,790,632  3786.0%    0.4%  Number of returns
203            5         $20,000 under $25,000  nret_all  nret_all    9,983,829      9,983,829             -0    -0.0%  -18.2%  Number of returns
237            6         $25,000 under $30,000  nret_all  nret_all    8,824,548      8,824,548             -0    -0.0%   -0.8%  Number of returns
271            7         $30,000 under $40,000  nret_all  nret_all   15,209,009     15,209,009              0     0.0%  -11.1%  Number of returns
305            8         $40,000 under $50,000  nret_all  nret_all   11,915,599    530,490,031    518,574,432  4352.1%   -5.9%  Number of returns
339            9         $50,000 under $75,000  nret_all  nret_all   20,958,446  1,102,565,266  1,081,606,820  5160.7%   -0.9%  Number of returns
373           10        $75,000 under $100,000  nret_all  nret_all   13,508,353    768,019,774    754,511,421  5585.5%   -3.6%  Number of returns
407           11       $100,000 under $200,000  nret_all  nret_all   19,951,450  1,158,705,557  1,138,754,107  5707.6%    5.5%  Number of returns
441           12       $200,000 under $500,000  nret_all  nret_all    6,215,046      6,215,046             -0    -0.0%    6.3%  Number of returns
475           13     $500,000 under $1,000,000  nret_all  nret_all    1,010,203     43,983,397     42,973,194  4253.9%    5.7%  Number of returns
509           14   $1,000,000 under $1,500,000  nret_all  nret_all      222,611        222,611              0     0.0%    6.0%  Number of returns
543           15   $1,500,000 under $2,000,000  nret_all  nret_all       90,527         90,526             -1    -0.0%   13.9%  Number of returns
577           16   $2,000,000 under $5,000,000  nret_all  nret_all      129,868        129,869              1     0.0%    6.1%  Number of returns
611           17  $5,000,000 under $10,000,000  nret_all  nret_all       31,628      1,816,888      1,785,260  5644.6%   20.0%  Number of returns
645           18           $10,000,000 or more  nret_all  nret_all       20,223         20,223             -0    -0.0%   -0.8%  Number of returns

     common_stub                      incrange pufvar       irsvar         irs            puf           diff    pdiff  ipdiff                   column_description
29             0                   All returns  mars1  nret_single  73,021,932  2,434,703,700  2,361,681,768  3234.2%   -7.8%  Number of returns of single persons
63             1                  Under $5,000  mars1  nret_single   9,624,749      9,624,749              0     0.0%  -11.6%  Number of returns of single persons
97             2          $5,000 under $10,000  mars1  nret_single   8,354,084    422,943,210    414,589,126  4962.7%  -12.8%  Number of returns of single persons
131            3         $10,000 under $15,000  mars1  nret_single   7,508,038    364,393,358    356,885,320  4753.4%   -7.4%  Number of returns of single persons
165            4         $15,000 under $20,000  mars1  nret_single   6,275,620    285,132,870    278,857,250  4443.5%   -3.2%  Number of returns of single persons
199            5         $20,000 under $25,000  mars1  nret_single   5,619,627      5,619,627              0     0.0%  -18.8%  Number of returns of single persons
233            6         $25,000 under $30,000  mars1  nret_single   4,879,918      4,879,918             -0    -0.0%   -8.2%  Number of returns of single persons
267            7         $30,000 under $40,000  mars1  nret_single   8,056,894      8,056,894             -0    -0.0%  -15.0%  Number of returns of single persons
301            8         $40,000 under $50,000  mars1  nret_single   6,021,209    241,240,483    235,219,274  3906.5%   -9.4%  Number of returns of single persons
335            9         $50,000 under $75,000  mars1  nret_single   8,817,515    531,675,595    522,858,080  5929.8%    2.5%  Number of returns of single persons
369           10        $75,000 under $100,000  mars1  nret_single   3,751,264    294,858,874    291,107,610  7760.3%    0.4%  Number of returns of single persons
403           11       $100,000 under $200,000  mars1  nret_single   3,243,701    259,248,391    256,004,690  7892.4%    6.4%  Number of returns of single persons
437           12       $200,000 under $500,000  mars1  nret_single     699,528        699,528             -0    -0.0%    7.3%  Number of returns of single persons
471           13     $500,000 under $1,000,000  mars1  nret_single     110,266      6,119,109      6,008,843  5449.4%   13.7%  Number of returns of single persons
505           14   $1,000,000 under $1,500,000  mars1  nret_single      26,192         26,192              0     0.0%    7.3%  Number of returns of single persons
539           15   $1,500,000 under $2,000,000  mars1  nret_single      10,635         10,635              0     0.0%   19.3%  Number of returns of single persons
573           16   $2,000,000 under $5,000,000  mars1  nret_single      16,163         16,163             -0    -0.0%   16.2%  Number of returns of single persons
607           17  $5,000,000 under $10,000,000  mars1  nret_single       3,882        155,459        151,577  3904.6%   35.4%  Number of returns of single persons
641           18           $10,000,000 or more  mars1  nret_single       2,646          2,646              0     0.0%    3.5%  Number of returns of single persons

     common_stub                      incrange pufvar      irsvar         irs            puf           diff    pdiff  ipdiff                                                                    column_description
30             0                   All returns  mars2  nret_mfjss  54,774,397  2,016,295,165  1,961,520,768  3581.1%   -2.6%  Number of returns of married persons filing jointly and returns of surviving spouses
64             1                  Under $5,000  mars2  nret_mfjss   1,380,491      1,380,491              0     0.0%  -31.5%  Number of returns of married persons filing jointly and returns of surviving spouses
98             2          $5,000 under $10,000  mars2  nret_mfjss     964,726     33,831,416     32,866,690  3406.8%  -29.0%  Number of returns of married persons filing jointly and returns of surviving spouses
132            3         $10,000 under $15,000  mars2  nret_mfjss   1,320,912     50,388,328     49,067,416  3714.7%  -25.0%  Number of returns of married persons filing jointly and returns of surviving spouses
166            4         $15,000 under $20,000  mars2  nret_mfjss   1,521,743     67,261,148     65,739,405  4320.0%  -16.5%  Number of returns of married persons filing jointly and returns of surviving spouses
200            5         $20,000 under $25,000  mars2  nret_mfjss   1,797,799      1,797,799             -0    -0.0%  -21.7%  Number of returns of married persons filing jointly and returns of surviving spouses
234            6         $25,000 under $30,000  mars2  nret_mfjss   1,657,652      1,657,652             -0    -0.0%   18.3%  Number of returns of married persons filing jointly and returns of surviving spouses
268            7         $30,000 under $40,000  mars2  nret_mfjss   3,456,996      3,456,996             -0    -0.0%   -4.7%  Number of returns of married persons filing jointly and returns of surviving spouses
302            8         $40,000 under $50,000  mars2  nret_mfjss   3,372,258    170,471,979    167,099,721  4955.1%   -2.0%  Number of returns of married persons filing jointly and returns of surviving spouses
336            9         $50,000 under $75,000  mars2  nret_mfjss   8,786,118    406,309,450    397,523,332  4524.4%   -5.4%  Number of returns of married persons filing jointly and returns of surviving spouses
370           10        $75,000 under $100,000  mars2  nret_mfjss   8,396,454    397,577,332    389,180,878  4635.1%   -6.4%  Number of returns of married persons filing jointly and returns of surviving spouses
404           11       $100,000 under $200,000  mars2  nret_mfjss  15,538,630    838,446,408    822,907,778  5295.9%    5.4%  Number of returns of married persons filing jointly and returns of surviving spouses
438           12       $200,000 under $500,000  mars2  nret_mfjss   5,303,488      5,303,488             -0    -0.0%    5.8%  Number of returns of married persons filing jointly and returns of surviving spouses
472           13     $500,000 under $1,000,000  mars2  nret_mfjss     864,399     36,416,141     35,551,742  4112.9%    5.1%  Number of returns of married persons filing jointly and returns of surviving spouses
506           14   $1,000,000 under $1,500,000  mars2  nret_mfjss     187,207        187,207              0     0.0%    6.1%  Number of returns of married persons filing jointly and returns of surviving spouses
540           15   $1,500,000 under $2,000,000  mars2  nret_mfjss      75,877         75,877              0     0.0%   13.6%  Number of returns of married persons filing jointly and returns of surviving spouses
574           16   $2,000,000 under $5,000,000  mars2  nret_mfjss     107,321        107,321             -0    -0.0%    4.9%  Number of returns of married persons filing jointly and returns of surviving spouses
608           17  $5,000,000 under $10,000,000  mars2  nret_mfjss      26,083      1,609,889      1,583,806  6072.2%   18.0%  Number of returns of married persons filing jointly and returns of surviving spouses
642           18           $10,000,000 or more  mars2  nret_mfjss      16,242         16,242              0     0.0%   -0.5%  Number of returns of married persons filing jointly and returns of surviving spouses

     common_stub                      incrange pufvar    irsvar        irs         puf        diff    pdiff  ipdiff                                      column_description
31             0                   All returns  mars3  nret_mfs  3,212,807  67,212,153  63,999,346  1992.0%  -28.1%  Number of returns of married persons filing separately
65             1                  Under $5,000  mars3  nret_mfs    201,766     201,766          -0    -0.0%  -44.5%  Number of returns of married persons filing separately
99             2          $5,000 under $10,000  mars3  nret_mfs    144,723   3,915,520   3,770,797  2605.5%  -20.3%  Number of returns of married persons filing separately
133            3         $10,000 under $15,000  mars3  nret_mfs    151,753   7,564,975   7,413,222  4885.1%   12.8%  Number of returns of married persons filing separately
167            4         $15,000 under $20,000  mars3  nret_mfs    165,662   1,225,011   1,059,349   639.5%  -27.9%  Number of returns of married persons filing separately
201            5         $20,000 under $25,000  mars3  nret_mfs    208,854     208,854          -0    -0.0%  -44.7%  Number of returns of married persons filing separately
235            6         $25,000 under $30,000  mars3  nret_mfs    237,759     237,759           0     0.0%  -26.9%  Number of returns of married persons filing separately
269            7         $30,000 under $40,000  mars3  nret_mfs    441,031     441,031          -0    -0.0%  -37.5%  Number of returns of married persons filing separately
303            8         $40,000 under $50,000  mars3  nret_mfs    396,157  13,466,659  13,070,502  3299.3%  -31.5%  Number of returns of married persons filing separately
337            9         $50,000 under $75,000  mars3  nret_mfs    635,460  21,078,136  20,442,676  3217.0%  -29.5%  Number of returns of married persons filing separately
371           10        $75,000 under $100,000  mars3  nret_mfs    285,591   9,379,961   9,094,370  3184.4%  -18.0%  Number of returns of married persons filing separately
405           11       $100,000 under $200,000  mars3  nret_mfs    271,847   9,030,187   8,758,340  3221.8%  -31.0%  Number of returns of married persons filing separately
439           12       $200,000 under $500,000  mars3  nret_mfs     51,414      51,414          -0    -0.0%   19.0%  Number of returns of married persons filing separately
473           13     $500,000 under $1,000,000  mars3  nret_mfs     10,784     367,149     356,365  3304.6%   21.2%  Number of returns of married persons filing separately
507           14   $1,000,000 under $1,500,000  mars3  nret_mfs      3,100       3,100           0     0.0%   31.5%  Number of returns of married persons filing separately
541           15   $1,500,000 under $2,000,000  mars3  nret_mfs      1,891       1,891           0     0.0%   12.8%  Number of returns of married persons filing separately
575           16   $2,000,000 under $5,000,000  mars3  nret_mfs      3,165       3,165          -0    -0.0%   11.8%  Number of returns of married persons filing separately
609           17  $5,000,000 under $10,000,000  mars3  nret_mfs        994      34,719      33,725  3392.8%   31.2%  Number of returns of married persons filing separately
643           18           $10,000,000 or more  mars3  nret_mfs        855         855           0     0.0%  -21.2%  Number of returns of married persons filing separately

     common_stub                      incrange pufvar    irsvar         irs          puf         diff    pdiff  ipdiff                        column_description
32             0                   All returns  mars4  nret_hoh  21,894,095  697,753,048  675,858,953  3086.9%    4.2%  Number of returns of heads of households
66             1                  Under $5,000  mars4  nret_hoh     575,416      575,416            0     0.0%   26.9%  Number of returns of heads of households
100            2          $5,000 under $10,000  mars4  nret_hoh   1,326,029   51,825,782   50,499,753  3808.3%   -7.4%  Number of returns of heads of households
134            3         $10,000 under $15,000  mars4  nret_hoh   2,613,933  208,586,579  205,972,646  7879.8%    5.6%  Number of returns of heads of households
168            4         $15,000 under $20,000  mars4  nret_hoh   2,702,244   60,836,872   58,134,628  2151.3%   19.9%  Number of returns of heads of households
202            5         $20,000 under $25,000  mars4  nret_hoh   2,357,549    2,357,549           -0    -0.0%  -11.8%  Number of returns of heads of households
236            6         $25,000 under $30,000  mars4  nret_hoh   2,049,219    2,049,219           -0    -0.0%    4.4%  Number of returns of heads of households
270            7         $30,000 under $40,000  mars4  nret_hoh   3,254,088    3,254,088           -0    -0.0%   -4.7%  Number of returns of heads of households
304            8         $40,000 under $50,000  mars4  nret_hoh   2,125,974  105,310,911  103,184,937  4853.5%    2.7%  Number of returns of heads of households
338            9         $50,000 under $75,000  mars4  nret_hoh   2,719,352  143,502,084  140,782,732  5177.1%    9.0%  Number of returns of heads of households
372           10        $75,000 under $100,000  mars4  nret_hoh   1,075,043   66,203,607   65,128,564  6058.2%    7.4%  Number of returns of heads of households
406           11       $100,000 under $200,000  mars4  nret_hoh     897,273   51,980,571   51,083,298  5693.2%   14.9%  Number of returns of heads of households
440           12       $200,000 under $500,000  mars4  nret_hoh     160,616      160,616           -0    -0.0%   14.6%  Number of returns of heads of households
474           13     $500,000 under $1,000,000  mars4  nret_hoh      24,755    1,080,997    1,056,242  4266.8%  -17.9%  Number of returns of heads of households
508           14   $1,000,000 under $1,500,000  mars4  nret_hoh       6,112        6,112            0     0.0%  -17.2%  Number of returns of heads of households
542           15   $1,500,000 under $2,000,000  mars4  nret_hoh       2,123        2,123            0     0.0%   -4.7%  Number of returns of heads of households
576           16   $2,000,000 under $5,000,000  mars4  nret_hoh       3,220        3,220           -0    -0.0%  -10.6%  Number of returns of heads of households
610           17  $5,000,000 under $10,000,000  mars4  nret_hoh         669       16,822       16,153  2414.4%   -6.7%  Number of returns of heads of households
644           18           $10,000,000 or more  mars4  nret_hoh         480          480            0     0.0%    0.0%  Number of returns of heads of households

     common_stub                      incrange  pufvar irsvar                 irs                  puf                 diff    pdiff  ipdiff                  column_description
0              0                   All returns  c00100    agi  11,009,900,155,000  374,122,681,773,880  363,112,781,618,880  3298.1%    1.7%  Adjusted gross income less deficit
34             1                  Under $5,000  c00100    agi    -207,008,365,000     -207,008,365,000                   -0     0.0%  -71.0%  Adjusted gross income less deficit
68             2          $5,000 under $10,000  c00100    agi      81,447,661,000    3,836,771,556,796    3,755,323,895,796  4610.7%  -14.5%  Adjusted gross income less deficit
102            3         $10,000 under $15,000  c00100    agi     145,001,169,000    7,950,237,877,554    7,805,236,708,554  5382.9%   -5.4%  Adjusted gross income less deficit
136            4         $15,000 under $20,000  c00100    agi     186,097,793,000    7,096,324,594,535    6,910,226,801,535  3713.2%   -0.1%  Adjusted gross income less deficit
170            5         $20,000 under $25,000  c00100    agi     224,218,126,000      224,218,126,000                    0     0.0%  -18.0%  Adjusted gross income less deficit
204            6         $25,000 under $30,000  c00100    agi     242,450,897,000      242,450,897,000                    0     0.0%   -1.0%  Adjusted gross income less deficit
238            7         $30,000 under $40,000  c00100    agi     529,629,959,000      529,629,959,000                   -0    -0.0%  -11.1%  Adjusted gross income less deficit
272            8         $40,000 under $50,000  c00100    agi     533,337,760,000   23,672,953,462,347   23,139,615,702,347  4338.6%   -5.9%  Adjusted gross income less deficit
306            9         $50,000 under $75,000  c00100    agi   1,286,848,073,000   68,107,565,514,990   66,820,717,441,990  5192.6%   -0.7%  Adjusted gross income less deficit
340           10        $75,000 under $100,000  c00100    agi   1,170,354,458,000   68,381,552,036,581   67,211,197,578,581  5742.8%   -3.3%  Adjusted gross income less deficit
374           11       $100,000 under $200,000  c00100    agi   2,707,840,958,000  150,748,523,002,647  148,040,682,044,647  5467.1%    5.8%  Adjusted gross income less deficit
408           12       $200,000 under $500,000  c00100    agi   1,770,815,570,000    1,770,815,570,000                   -0    -0.0%    6.0%  Adjusted gross income less deficit
442           13     $500,000 under $1,000,000  c00100    agi     679,941,585,000   28,171,625,673,810   27,491,684,088,810  4043.2%    6.5%  Adjusted gross income less deficit
476           14   $1,000,000 under $1,500,000  c00100    agi     268,740,908,000      268,740,908,000                    0     0.0%    6.7%  Adjusted gross income less deficit
510           15   $1,500,000 under $2,000,000  c00100    agi     155,813,355,000      155,813,355,000                   -0    -0.0%   13.4%  Adjusted gross income less deficit
544           16   $2,000,000 under $5,000,000  c00100    agi     386,043,696,000      386,043,696,000                   -0    -0.0%    6.4%  Adjusted gross income less deficit
578           17  $5,000,000 under $10,000,000  c00100    agi     216,163,537,000   12,154,260,892,621   11,938,097,355,621  5522.7%   20.2%  Adjusted gross income less deficit
612           18           $10,000,000 or more  c00100    agi     632,163,016,000      632,163,016,000                    0     0.0%  -28.3%  Adjusted gross income less deficit

     common_stub                      incrange  pufvar irsvar                irs                  puf                 diff    pdiff  ipdiff  column_description
15             0                   All returns  e00200  wages  7,577,563,943,000  279,584,672,244,587  272,007,108,301,587  3589.6%    1.3%  Salaries and wages
49             1                  Under $5,000  e00200  wages     45,624,860,000       45,624,860,000                    0     0.0%  -26.2%  Salaries and wages
83             2          $5,000 under $10,000  e00200  wages     61,751,519,000    3,388,374,176,835    3,326,622,657,835  5387.1%   -5.3%  Salaries and wages
117            3         $10,000 under $15,000  e00200  wages    102,641,467,000    5,929,092,899,035    5,826,451,432,035  5676.5%  -10.2%  Salaries and wages
151            4         $15,000 under $20,000  e00200  wages    144,870,411,000    5,115,782,964,219    4,970,912,553,219  3431.3%  -10.0%  Salaries and wages
185            5         $20,000 under $25,000  e00200  wages    182,708,792,000      182,708,792,000                   -0    -0.0%  -25.9%  Salaries and wages
219            6         $25,000 under $30,000  e00200  wages    200,080,435,000      200,080,435,000                   -0    -0.0%   -7.8%  Salaries and wages
253            7         $30,000 under $40,000  e00200  wages    441,282,302,000      441,282,302,000                   -0    -0.0%  -16.7%  Salaries and wages
287            8         $40,000 under $50,000  e00200  wages    437,485,582,000   18,136,392,875,845   17,698,907,293,845  4045.6%  -12.3%  Salaries and wages
321            9         $50,000 under $75,000  e00200  wages  1,000,500,360,000   51,679,290,331,449   50,678,789,971,449  5065.3%   -4.8%  Salaries and wages
355           10        $75,000 under $100,000  e00200  wages    870,406,373,000   52,514,726,647,518   51,644,320,274,518  5933.4%   -6.3%  Salaries and wages
389           11       $100,000 under $200,000  e00200  wages  2,015,029,480,000  119,294,801,914,807  117,279,772,434,807  5820.3%    9.4%  Salaries and wages
423           12       $200,000 under $500,000  e00200  wages  1,206,754,121,000    1,206,754,121,000                   -0    -0.0%   11.8%  Salaries and wages
457           13     $500,000 under $1,000,000  e00200  wages    379,375,686,000   14,487,047,468,165   14,107,671,782,165  3718.7%   12.1%  Salaries and wages
491           14   $1,000,000 under $1,500,000  e00200  wages    121,320,814,000      121,320,814,000                    0     0.0%   14.9%  Salaries and wages
525           15   $1,500,000 under $2,000,000  e00200  wages     62,643,611,000       62,643,611,000                    0     0.0%   20.8%  Salaries and wages
559           16   $2,000,000 under $5,000,000  e00200  wages    134,372,608,000      134,372,608,000                    0     0.0%    4.4%  Salaries and wages
593           17  $5,000,000 under $10,000,000  e00200  wages     64,755,746,000    6,538,415,648,713    6,473,659,902,713  9997.0%   30.7%  Salaries and wages
627           18           $10,000,000 or more  e00200  wages    105,959,775,000      105,959,775,000                    0     0.0%   -1.5%  Salaries and wages

     common_stub                      incrange      pufvar      irsvar          irs            puf           diff    pdiff  ipdiff                         column_description
16             0                   All returns  e00200_nnz  nret_wages  126,264,481  4,454,597,274  4,328,332,793  3428.0%   -4.8%  Number of returns with salaries and wages
50             1                  Under $5,000  e00200_nnz  nret_wages    7,498,743      7,498,743              0     0.0%    1.5%  Number of returns with salaries and wages
84             2          $5,000 under $10,000  e00200_nnz  nret_wages    8,269,276    466,822,596    458,553,320  5545.3%   -1.5%  Number of returns with salaries and wages
118            3         $10,000 under $15,000  e00200_nnz  nret_wages    8,640,300    503,968,840    495,328,540  5732.8%   -7.3%  Number of returns with salaries and wages
152            4         $15,000 under $20,000  e00200_nnz  nret_wages    8,574,161    328,021,049    319,446,888  3725.7%   -5.3%  Number of returns with salaries and wages
186            5         $20,000 under $25,000  e00200_nnz  nret_wages    8,364,949      8,364,949             -0    -0.0%  -23.2%  Number of returns with salaries and wages
220            6         $25,000 under $30,000  e00200_nnz  nret_wages    7,546,010      7,546,010             -0    -0.0%   -5.2%  Number of returns with salaries and wages
254            7         $30,000 under $40,000  e00200_nnz  nret_wages   13,247,533     13,247,533             -0    -0.0%  -15.4%  Number of returns with salaries and wages
288            8         $40,000 under $50,000  e00200_nnz  nret_wages   10,403,747    442,748,328    432,344,581  4155.7%  -10.4%  Number of returns with salaries and wages
322            9         $50,000 under $75,000  e00200_nnz  nret_wages   17,936,912    938,866,074    920,929,162  5134.3%   -3.4%  Number of returns with salaries and wages
356           10        $75,000 under $100,000  e00200_nnz  nret_wages   11,528,881    656,440,177    644,911,296  5593.9%   -5.9%  Number of returns with salaries and wages
390           11       $100,000 under $200,000  e00200_nnz  nret_wages   17,460,941  1,035,750,825  1,018,289,884  5831.8%    7.2%  Number of returns with salaries and wages
424           12       $200,000 under $500,000  e00200_nnz  nret_wages    5,511,434      5,511,434             -0    -0.0%    8.5%  Number of returns with salaries and wages
458           13     $500,000 under $1,000,000  e00200_nnz  nret_wages      871,177     37,811,390     36,940,213  4240.3%    5.6%  Number of returns with salaries and wages
492           14   $1,000,000 under $1,500,000  e00200_nnz  nret_wages      187,004        187,004              0     0.0%    3.5%  Number of returns with salaries and wages
526           15   $1,500,000 under $2,000,000  e00200_nnz  nret_wages       74,469         74,469              0     0.0%   12.6%  Number of returns with salaries and wages
560           16   $2,000,000 under $5,000,000  e00200_nnz  nret_wages      106,641        106,641              0     0.0%    2.5%  Number of returns with salaries and wages
594           17  $5,000,000 under $10,000,000  e00200_nnz  nret_wages       25,938      1,614,847      1,588,909  6125.8%   17.6%  Number of returns with salaries and wages
628           18           $10,000,000 or more  e00200_nnz  nret_wages       16,364         16,364              0     0.0%    0.3%  Number of returns with salaries and wages

     common_stub                      incrange  pufvar  irsvar              irs                puf               diff    pdiff  ipdiff column_description
17             0                   All returns  e00300  taxint  106,055,367,000  2,198,254,366,801  2,092,198,999,801  1972.7%    0.0%   Taxable interest
51             1                  Under $5,000  e00300  taxint    6,313,334,000      6,313,334,000                  0     0.0%  -41.4%   Taxable interest
85             2          $5,000 under $10,000  e00300  taxint      750,884,000     16,645,404,928     15,894,520,928  2116.8%  -26.6%   Taxable interest
119            3         $10,000 under $15,000  e00300  taxint      910,294,000     34,867,054,139     33,956,760,139  3730.3%   58.5%   Taxable interest
153            4         $15,000 under $20,000  e00300  taxint    1,023,518,000     44,218,297,056     43,194,779,056  4220.2%   82.5%   Taxable interest
187            5         $20,000 under $25,000  e00300  taxint    1,022,021,000      1,022,021,000                 -0    -0.0%  109.3%   Taxable interest
221            6         $25,000 under $30,000  e00300  taxint      941,757,000        941,757,000                 -0    -0.0%  122.5%   Taxable interest
255            7         $30,000 under $40,000  e00300  taxint    1,942,630,000      1,942,630,000                 -0    -0.0%   81.5%   Taxable interest
