
Regrown reweighted puf, ipopt method, compared to IRS values, run on 2020-11-19

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

     common_stub     incrange         pufvar              target                 puf            diff  pdiff  ipdiff                                                                    column_description
636            0                   All returns  nret_all  152,903,231  152,818,105  -85,126  -0.1%   -4.6%  Number of returns
628            1                  Under $5,000  nret_all   11,782,422   11,774,955   -7,467  -0.1%  -12.7%  Number of returns
646            2          $5,000 under $10,000  nret_all   10,789,563   10,794,884    5,321   0.0%  -13.7%  Number of returns
320            3         $10,000 under $15,000  nret_all   11,594,637   11,583,042  -11,595  -0.1%   -6.2%  Number of returns
594            4         $15,000 under $20,000  nret_all   10,665,270   10,675,603   10,333   0.1%    0.4%  Number of returns
324            5         $20,000 under $25,000  nret_all    9,983,829    9,973,845   -9,984  -0.1%  -18.2%  Number of returns
690            6         $25,000 under $30,000  nret_all    8,824,548    8,823,842     -706  -0.0%   -0.8%  Number of returns
367            7         $30,000 under $40,000  nret_all   15,209,009   15,193,800  -15,209  -0.1%  -11.1%  Number of returns
627            8         $40,000 under $50,000  nret_all   11,915,599   11,907,934   -7,665  -0.1%   -5.9%  Number of returns
619            9         $50,000 under $75,000  nret_all   20,958,446   20,942,925  -15,521  -0.1%   -0.9%  Number of returns
353           10        $75,000 under $100,000  nret_all   13,508,353   13,494,845  -13,508  -0.1%   -3.6%  Number of returns
631           11       $100,000 under $200,000  nret_all   19,951,450   19,939,781  -11,669  -0.1%    5.5%  Number of returns
404           12       $200,000 under $500,000  nret_all    6,215,046    6,208,831   -6,215  -0.1%    6.3%  Number of returns
586           13     $500,000 under $1,000,000  nret_all    1,010,203    1,009,194   -1,009  -0.1%    5.7%  Number of returns
388           14   $1,000,000 under $1,500,000  nret_all      222,611      222,388     -223  -0.1%    6.0%  Number of returns
601           15   $1,500,000 under $2,000,000  nret_all       90,527       90,608       81   0.1%   13.9%  Number of returns
588           16   $2,000,000 under $5,000,000  nret_all      129,868      129,739     -129  -0.1%    6.1%  Number of returns
643           17  $5,000,000 under $10,000,000  nret_all       31,628       31,645       17   0.1%   20.0%  Number of returns
125           18           $10,000,000 or more  nret_all       20,223       20,243       20   0.1%   -0.8%  Number of returns

     common_stub                      incrange pufvar      target         puf     diff  pdiff  ipdiff                   column_description
638            0                   All returns  mars1  73,021,932  72,981,651  -40,281  -0.1%   -7.8%  Number of returns of single persons
434            1                  Under $5,000  mars1   9,624,749   9,615,124   -9,625  -0.1%  -11.6%  Number of returns of single persons
637            2          $5,000 under $10,000  mars1   8,354,084   8,358,698    4,614   0.1%  -12.8%  Number of returns of single persons
345            3         $10,000 under $15,000  mars1   7,508,038   7,500,530   -7,508  -0.1%   -7.4%  Number of returns of single persons
171            4         $15,000 under $20,000  mars1   6,275,620   6,281,896    6,276   0.1%   -3.2%  Number of returns of single persons
328            5         $20,000 under $25,000  mars1   5,619,627   5,614,007   -5,620  -0.1%  -18.8%  Number of returns of single persons
605            6         $25,000 under $30,000  mars1   4,879,918   4,875,743   -4,175  -0.1%   -8.2%  Number of returns of single persons
325            7         $30,000 under $40,000  mars1   8,056,894   8,048,837   -8,057  -0.1%  -15.0%  Number of returns of single persons
348            8         $40,000 under $50,000  mars1   6,021,209   6,015,188   -6,021  -0.1%   -9.4%  Number of returns of single persons
358            9         $50,000 under $75,000  mars1   8,817,515   8,808,697   -8,818  -0.1%    2.5%  Number of returns of single persons
378           10        $75,000 under $100,000  mars1   3,751,264   3,747,513   -3,751  -0.1%    0.4%  Number of returns of single persons
501           11       $100,000 under $200,000  mars1   3,243,701   3,246,945    3,244   0.1%    6.4%  Number of returns of single persons
481           12       $200,000 under $500,000  mars1     699,528     698,828     -700  -0.1%    7.3%  Number of returns of single persons
502           13     $500,000 under $1,000,000  mars1     110,266     110,156     -110  -0.1%   13.7%  Number of returns of single persons
463           14   $1,000,000 under $1,500,000  mars1      26,192      26,166      -26  -0.1%    7.3%  Number of returns of single persons
573           15   $1,500,000 under $2,000,000  mars1      10,635      10,646       11   0.1%   19.3%  Number of returns of single persons
450           16   $2,000,000 under $5,000,000  mars1      16,163      16,147      -16  -0.1%   16.2%  Number of returns of single persons
675           17  $5,000,000 under $10,000,000  mars1       3,882       3,883        1   0.0%   35.4%  Number of returns of single persons
115           18           $10,000,000 or more  mars1       2,646       2,649        3   0.1%    3.5%  Number of returns of single persons

     common_stub                      incrange pufvar      target         puf     diff  pdiff  ipdiff                                                                    column_description
611            0                   All returns  mars2  54,774,397  54,730,410  -43,987  -0.1%   -2.6%  Number of returns of married persons filing jointly and returns of surviving spouses
141            1                  Under $5,000  mars2   1,380,491   1,381,872    1,381   0.1%  -31.5%  Number of returns of married persons filing jointly and returns of surviving spouses
645            2          $5,000 under $10,000  mars2     964,726     965,205      479   0.0%  -29.0%  Number of returns of married persons filing jointly and returns of surviving spouses
299            3         $10,000 under $15,000  mars2   1,320,912   1,319,591   -1,321  -0.1%  -25.0%  Number of returns of married persons filing jointly and returns of surviving spouses
251            4         $15,000 under $20,000  mars2   1,521,743   1,523,265    1,522   0.1%  -16.5%  Number of returns of married persons filing jointly and returns of surviving spouses
303            5         $20,000 under $25,000  mars2   1,797,799   1,796,001   -1,798  -0.1%  -21.7%  Number of returns of married persons filing jointly and returns of surviving spouses
228            6         $25,000 under $30,000  mars2   1,657,652   1,659,310    1,658   0.1%   18.3%  Number of returns of married persons filing jointly and returns of surviving spouses
423            7         $30,000 under $40,000  mars2   3,456,996   3,453,539   -3,457  -0.1%   -4.7%  Number of returns of married persons filing jointly and returns of surviving spouses
321            8         $40,000 under $50,000  mars2   3,372,258   3,368,886   -3,372  -0.1%   -2.0%  Number of returns of married persons filing jointly and returns of surviving spouses
295            9         $50,000 under $75,000  mars2   8,786,118   8,777,332   -8,786  -0.1%   -5.4%  Number of returns of married persons filing jointly and returns of surviving spouses
359           10        $75,000 under $100,000  mars2   8,396,454   8,388,057   -8,397  -0.1%   -6.4%  Number of returns of married persons filing jointly and returns of surviving spouses
301           11       $100,000 under $200,000  mars2  15,538,630  15,523,091  -15,539  -0.1%    5.4%  Number of returns of married persons filing jointly and returns of surviving spouses
300           12       $200,000 under $500,000  mars2   5,303,488   5,298,184   -5,304  -0.1%    5.8%  Number of returns of married persons filing jointly and returns of surviving spouses
315           13     $500,000 under $1,000,000  mars2     864,399     863,535     -864  -0.1%    5.1%  Number of returns of married persons filing jointly and returns of surviving spouses
343           14   $1,000,000 under $1,500,000  mars2     187,207     187,020     -187  -0.1%    6.1%  Number of returns of married persons filing jointly and returns of surviving spouses
281           15   $1,500,000 under $2,000,000  mars2      75,877      75,953       76   0.1%   13.6%  Number of returns of married persons filing jointly and returns of surviving spouses
323           16   $2,000,000 under $5,000,000  mars2     107,321     107,214     -107  -0.1%    4.9%  Number of returns of married persons filing jointly and returns of surviving spouses
629           17  $5,000,000 under $10,000,000  mars2      26,083      26,099       16   0.1%   18.0%  Number of returns of married persons filing jointly and returns of surviving spouses
132           18           $10,000,000 or more  mars2      16,242      16,258       16   0.1%   -0.5%  Number of returns of married persons filing jointly and returns of surviving spouses

     common_stub                      incrange pufvar     target        puf    diff  pdiff  ipdiff                                      column_description
612            0                   All returns  mars3  3,212,807  3,210,243  -2,564  -0.1%  -28.1%  Number of returns of married persons filing separately
116            1                  Under $5,000  mars3    201,766    201,968     202   0.1%  -44.5%  Number of returns of married persons filing separately
625            2          $5,000 under $10,000  mars3    144,723    144,821      98   0.1%  -20.3%  Number of returns of married persons filing separately
587            3         $10,000 under $15,000  mars3    151,753    151,602    -151  -0.1%   12.8%  Number of returns of married persons filing separately
393            4         $15,000 under $20,000  mars3    165,662    165,496    -166  -0.1%  -27.9%  Number of returns of married persons filing separately
311            5         $20,000 under $25,000  mars3    208,854    208,645    -209  -0.1%  -44.7%  Number of returns of married persons filing separately
412            6         $25,000 under $30,000  mars3    237,759    237,521    -238  -0.1%  -26.9%  Number of returns of married persons filing separately
285            7         $30,000 under $40,000  mars3    441,031    440,590    -441  -0.1%  -37.5%  Number of returns of married persons filing separately
294            8         $40,000 under $50,000  mars3    396,157    395,761    -396  -0.1%  -31.5%  Number of returns of married persons filing separately
308            9         $50,000 under $75,000  mars3    635,460    634,825    -635  -0.1%  -29.5%  Number of returns of married persons filing separately
363           10        $75,000 under $100,000  mars3    285,591    285,305    -286  -0.1%  -18.0%  Number of returns of married persons filing separately
448           11       $100,000 under $200,000  mars3    271,847    271,575    -272  -0.1%  -31.0%  Number of returns of married persons filing separately
578           12       $200,000 under $500,000  mars3     51,414     51,363     -51  -0.1%   19.0%  Number of returns of married persons filing separately
522           13     $500,000 under $1,000,000  mars3     10,784     10,773     -11  -0.1%   21.2%  Number of returns of married persons filing separately
560           14   $1,000,000 under $1,500,000  mars3      3,100      3,097      -3  -0.1%   31.5%  Number of returns of married persons filing separately
580           15   $1,500,000 under $2,000,000  mars3      1,891      1,889      -2  -0.1%   12.8%  Number of returns of married persons filing separately
523           16   $2,000,000 under $5,000,000  mars3      3,165      3,162      -3  -0.1%   11.8%  Number of returns of married persons filing separately
704           17  $5,000,000 under $10,000,000  mars3        994        994       0   0.0%   31.2%  Number of returns of married persons filing separately
119           18           $10,000,000 or more  mars3        855        856       1   0.1%  -21.2%  Number of returns of married persons filing separately

     common_stub                      incrange pufvar      target         puf    diff  pdiff  ipdiff                        column_description
691            0                   All returns  mars4  21,894,095  21,895,800   1,705   0.0%    4.2%  Number of returns of heads of households
184            1                  Under $5,000  mars4     575,416     575,991     575   0.1%   26.9%  Number of returns of heads of households
686            2          $5,000 under $10,000  mars4   1,326,029   1,326,161     132   0.0%   -7.4%  Number of returns of heads of households
331            3         $10,000 under $15,000  mars4   2,613,933   2,611,319  -2,614  -0.1%    5.6%  Number of returns of heads of households
143            4         $15,000 under $20,000  mars4   2,702,244   2,704,946   2,702   0.1%   19.9%  Number of returns of heads of households
338            5         $20,000 under $25,000  mars4   2,357,549   2,355,191  -2,358  -0.1%  -11.8%  Number of returns of heads of households
252            6         $25,000 under $30,000  mars4   2,049,219   2,051,268   2,049   0.1%    4.4%  Number of returns of heads of households
376            7         $30,000 under $40,000  mars4   3,254,088   3,250,834  -3,254  -0.1%   -4.7%  Number of returns of heads of households
261            8         $40,000 under $50,000  mars4   2,125,974   2,128,100   2,126   0.1%    2.7%  Number of returns of heads of households
270            9         $50,000 under $75,000  mars4   2,719,352   2,722,071   2,719   0.1%    9.0%  Number of returns of heads of households
585           10        $75,000 under $100,000  mars4   1,075,043   1,073,969  -1,074  -0.1%    7.4%  Number of returns of heads of households
563           11       $100,000 under $200,000  mars4     897,273     898,170     897   0.1%   14.9%  Number of returns of heads of households
546           12       $200,000 under $500,000  mars4     160,616     160,455    -161  -0.1%   14.6%  Number of returns of heads of households
399           13     $500,000 under $1,000,000  mars4      24,755      24,730     -25  -0.1%  -17.9%  Number of returns of heads of households
384           14   $1,000,000 under $1,500,000  mars4       6,112       6,106      -6  -0.1%  -17.2%  Number of returns of heads of households
504           15   $1,500,000 under $2,000,000  mars4       2,123       2,121      -2  -0.1%   -4.7%  Number of returns of heads of households
406           16   $2,000,000 under $5,000,000  mars4       3,220       3,217      -3  -0.1%  -10.6%  Number of returns of heads of households
712           17  $5,000,000 under $10,000,000  mars4         669         669       0   0.0%   -6.7%  Number of returns of heads of households
103           18           $10,000,000 or more  mars4         480         480       0   0.1%    0.0%  Number of returns of heads of households

     common_stub                      incrange  pufvar              target                 puf            diff  pdiff  ipdiff                  column_description
713            0                   All returns  c00100  11,009,900,155,000  11,009,780,852,434    -119,302,566  -0.0%    1.7%  Adjusted gross income less deficit
498            1                  Under $5,000  c00100    -207,008,365,000    -206,801,354,611     207,010,389  -0.1%  -71.0%  Adjusted gross income less deficit
676            2          $5,000 under $10,000  c00100      81,447,661,000      81,460,077,535      12,416,535   0.0%  -14.5%  Adjusted gross income less deficit
227            3         $10,000 under $15,000  c00100     145,001,169,000     145,146,171,623     145,002,623   0.1%   -5.4%  Adjusted gross income less deficit
616            4         $15,000 under $20,000  c00100     186,097,793,000     186,238,830,201     141,037,201   0.1%   -0.1%  Adjusted gross income less deficit
225            5         $20,000 under $25,000  c00100     224,218,126,000     224,442,346,375     224,220,375   0.1%  -18.0%  Adjusted gross income less deficit
420            6         $25,000 under $30,000  c00100     242,450,897,000     242,208,443,700    -242,453,300  -0.1%   -1.0%  Adjusted gross income less deficit
207            7         $30,000 under $40,000  c00100     529,629,959,000     530,159,594,279     529,635,279   0.1%  -11.1%  Adjusted gross income less deficit
694            8         $40,000 under $50,000  c00100     533,337,760,000     533,301,317,141     -36,442,859  -0.0%   -5.9%  Adjusted gross income less deficit
233            9         $50,000 under $75,000  c00100   1,286,848,073,000   1,288,134,933,966   1,286,860,966   0.1%   -0.7%  Adjusted gross income less deficit
214           10        $75,000 under $100,000  c00100   1,170,354,458,000   1,171,524,824,210   1,170,366,210   0.1%   -3.3%  Adjusted gross income less deficit
273           11       $100,000 under $200,000  c00100   2,707,840,958,000   2,705,133,090,001  -2,707,867,999  -0.1%    5.8%  Adjusted gross income less deficit
417           12       $200,000 under $500,000  c00100   1,770,815,570,000   1,769,044,736,877  -1,770,833,123  -0.1%    6.0%  Adjusted gross income less deficit
217           13     $500,000 under $1,000,000  c00100     679,941,585,000     680,621,533,411     679,948,411   0.1%    6.5%  Adjusted gross income less deficit
205           14   $1,000,000 under $1,500,000  c00100     268,740,908,000     269,009,651,608     268,743,608   0.1%    6.7%  Adjusted gross income less deficit
595           15   $1,500,000 under $2,000,000  c00100     155,813,355,000     155,962,880,399     149,525,399   0.1%   13.4%  Adjusted gross income less deficit
224           16   $2,000,000 under $5,000,000  c00100     386,043,696,000     386,429,743,569     386,047,569   0.1%    6.4%  Adjusted gross income less deficit
653           17  $5,000,000 under $10,000,000  c00100     216,163,537,000     216,233,185,309      69,648,309   0.0%   20.2%  Adjusted gross income less deficit
509           18           $10,000,000 or more  c00100     632,163,016,000     631,530,846,842    -632,169,158  -0.1%  -28.3%  Adjusted gross income less deficit

     common_stub                      incrange  pufvar             target                puf            diff  pdiff  ipdiff  column_description
650            0                   All returns  e00200  7,577,563,943,000  7,574,681,658,031  -2,882,284,969  -0.0%    1.3%  Salaries and wages
137            1                  Under $5,000  e00200     45,624,860,000     45,670,485,333      45,625,333   0.1%  -26.2%  Salaries and wages
699            2          $5,000 under $10,000  e00200     61,751,519,000     61,748,268,069      -3,250,931  -0.0%   -5.3%  Salaries and wages
268            3         $10,000 under $15,000  e00200    102,641,467,000    102,538,824,508    -102,642,492  -0.1%  -10.2%  Salaries and wages
306            4         $15,000 under $20,000  e00200    144,870,411,000    144,725,539,144    -144,871,856  -0.1%  -10.0%  Salaries and wages
266            5         $20,000 under $25,000  e00200    182,708,792,000    182,526,081,383    -182,710,617  -0.1%  -25.9%  Salaries and wages
271            6         $25,000 under $30,000  e00200    200,080,435,000    199,880,352,567    -200,082,433  -0.1%   -7.8%  Salaries and wages
265            7         $30,000 under $40,000  e00200    441,282,302,000    440,841,015,290    -441,286,710  -0.1%  -16.7%  Salaries and wages
264            8         $40,000 under $50,000  e00200    437,485,582,000    437,048,092,048    -437,489,952  -0.1%  -12.3%  Salaries and wages
267            9         $50,000 under $75,000  e00200  1,000,500,360,000    999,499,849,647  -1,000,510,353  -0.1%   -4.8%  Salaries and wages
310           10        $75,000 under $100,000  e00200    870,406,373,000    869,535,957,945    -870,415,055  -0.1%   -6.3%  Salaries and wages
249           11       $100,000 under $200,000  e00200  2,015,029,480,000  2,017,044,529,635   2,015,049,635   0.1%    9.4%  Salaries and wages
334           12       $200,000 under $500,000  e00200  1,206,754,121,000  1,205,547,354,855  -1,206,766,145  -0.1%   11.8%  Salaries and wages
289           13     $500,000 under $1,000,000  e00200    379,375,686,000    378,996,306,528    -379,379,472  -0.1%   12.1%  Salaries and wages
253           14   $1,000,000 under $1,500,000  e00200    121,320,814,000    121,442,136,027     121,322,027   0.1%   14.9%  Salaries and wages
488           15   $1,500,000 under $2,000,000  e00200     62,643,611,000     62,580,966,775     -62,644,225  -0.1%   20.8%  Salaries and wages
304           16   $2,000,000 under $5,000,000  e00200    134,372,608,000    134,238,234,051    -134,373,949  -0.1%    4.4%  Salaries and wages
696           17  $5,000,000 under $10,000,000  e00200     64,755,746,000     64,751,928,301      -3,817,699  -0.0%   30.7%  Salaries and wages
112           18           $10,000,000 or more  e00200    105,959,775,000    106,065,735,924     105,960,924   0.1%   -1.5%  Salaries and wages

     common_stub                      incrange      pufvar       target          puf     diff  pdiff  ipdiff                         column_description
621            0                   All returns  e00200_nnz  126,264,481  126,355,879   91,398   0.1%   -4.8%  Number of returns with salaries and wages
168            1                  Under $5,000  e00200_nnz    7,498,743    7,506,242    7,499   0.1%    1.5%  Number of returns with salaries and wages
604            2          $5,000 under $10,000  e00200_nnz    8,269,276    8,276,483    7,207   0.1%   -1.5%  Number of returns with salaries and wages
236            3         $10,000 under $15,000  e00200_nnz    8,640,300    8,648,940    8,640   0.1%   -7.3%  Number of returns with salaries and wages
172            4         $15,000 under $20,000  e00200_nnz    8,574,161    8,582,735    8,574   0.1%   -5.3%  Number of returns with salaries and wages
239            5         $20,000 under $25,000  e00200_nnz    8,364,949    8,373,314    8,365   0.1%  -23.2%  Number of returns with salaries and wages
235            6         $25,000 under $30,000  e00200_nnz    7,546,010    7,553,556    7,546   0.1%   -5.2%  Number of returns with salaries and wages
238            7         $30,000 under $40,000  e00200_nnz   13,247,533   13,260,781   13,248   0.1%  -15.4%  Number of returns with salaries and wages
241            8         $40,000 under $50,000  e00200_nnz   10,403,747   10,414,151   10,404   0.1%  -10.4%  Number of returns with salaries and wages
240            9         $50,000 under $75,000  e00200_nnz   17,936,912   17,954,849   17,937   0.1%   -3.4%  Number of returns with salaries and wages
340           10        $75,000 under $100,000  e00200_nnz   11,528,881   11,517,352  -11,529  -0.1%   -5.9%  Number of returns with salaries and wages
642           11       $100,000 under $200,000  e00200_nnz   17,460,941   17,470,196    9,255   0.1%    7.2%  Number of returns with salaries and wages
293           12       $200,000 under $500,000  e00200_nnz    5,511,434    5,516,945    5,511   0.1%    8.5%  Number of returns with salaries and wages
322           13     $500,000 under $1,000,000  e00200_nnz      871,177      870,306     -871  -0.1%    5.6%  Number of returns with salaries and wages
272           14   $1,000,000 under $1,500,000  e00200_nnz      187,004      186,817     -187  -0.1%    3.5%  Number of returns with salaries and wages
356           15   $1,500,000 under $2,000,000  e00200_nnz       74,469       74,395      -74  -0.1%   12.6%  Number of returns with salaries and wages
318           16   $2,000,000 under $5,000,000  e00200_nnz      106,641      106,534     -107  -0.1%    2.5%  Number of returns with salaries and wages
681           17  $5,000,000 under $10,000,000  e00200_nnz       25,938       25,935       -3  -0.0%   17.6%  Number of returns with salaries and wages
539           18           $10,000,000 or more  e00200_nnz       16,364       16,348      -16  -0.1%    0.3%  Number of returns with salaries and wages

     common_stub                      incrange  pufvar           target              puf         diff  pdiff  ipdiff column_description
693            0                   All returns  e00300  106,055,367,000  106,063,046,790    7,679,790   0.0%    0.0%   Taxable interest
544            1                  Under $5,000  e00300    6,313,334,000    6,307,020,606   -6,313,394  -0.1%  -41.4%   Taxable interest
698            2          $5,000 under $10,000  e00300      750,884,000      750,843,400      -40,600  -0.0%  -26.6%   Taxable interest
109            3         $10,000 under $15,000  e00300      910,294,000      911,204,304      910,304   0.1%   58.5%   Taxable interest
95             4         $15,000 under $20,000  e00300    1,023,518,000    1,024,541,531    1,023,531   0.1%   82.5%   Taxable interest
92             5         $20,000 under $25,000  e00300    1,022,021,000    1,023,043,036    1,022,036   0.1%  109.3%   Taxable interest
97             6         $25,000 under $30,000  e00300      941,757,000      942,698,769      941,769   0.1%  122.5%   Taxable interest
104            7         $30,000 under $40,000  e00300    1,942,630,000    1,944,572,652    1,942,652   0.1%   81.5%   Taxable interest
111            8         $40,000 under $50,000  e00300    1,735,295,000    1,737,030,314    1,735,314   0.1%   99.7%   Taxable interest
144            9         $50,000 under $75,000  e00300    5,574,683,000    5,580,257,740    5,574,740   0.1%   60.0%   Taxable interest
105           10        $75,000 under $100,000  e00300    5,046,194,000    5,051,240,250    5,046,250   0.1%   59.9%   Taxable interest
452           11       $100,000 under $200,000  e00300   14,295,833,000   14,310,128,974   14,295,974   0.1%   23.0%   Taxable interest
571           12       $200,000 under $500,000  e00300   14,390,980,000   14,376,588,893  -14,391,107  -0.1%   -2.8%   Taxable interest
574           13     $500,000 under $1,000,000  e00300    8,601,677,000    8,593,075,251   -8,601,749  -0.1%    8.0%   Taxable interest
422           14   $1,000,000 under $1,500,000  e00300    4,459,093,000    4,454,633,863   -4,459,137  -0.1%   -6.4%   Taxable interest
392           15   $1,500,000 under $2,000,000  e00300    2,988,390,000    2,985,401,580   -2,988,420  -0.1%    0.3%   Taxable interest
344           16   $2,000,000 under $5,000,000  e00300    8,879,902,000    8,871,022,010   -8,879,990  -0.1%  -13.1%   Taxable interest
682           17  $5,000,000 under $10,000,000  e00300    5,684,017,000    5,683,382,531     -634,469  -0.0%   -9.8%   Taxable interest
153           18           $10,000,000 or more  e00300   21,494,866,000   21,516,361,086   21,495,086   0.1%  -56.1%   Taxable interest

     common_stub                      incrange      pufvar      target         puf    diff pdiff  ipdiff                       column_description
591            0                   All returns  e00300_nnz  44,193,009  44,236,309  43,300  0.1%   21.0%  Number of returns with taxable interest
133            1                  Under $5,000  e00300_nnz   2,116,158   2,118,274   2,116  0.1%  -15.4%  Number of returns with taxable interest
651            2          $5,000 under $10,000  e00300_nnz   1,334,991   1,335,480     489  0.0%  -11.4%  Number of returns with taxable interest
162            3         $10,000 under $15,000  e00300_nnz   1,452,616   1,454,069   1,453  0.1%   22.3%  Number of returns with taxable interest
118            4         $15,000 under $20,000  e00300_nnz   1,366,790   1,368,157   1,367  0.1%   31.8%  Number of returns with taxable interest
165            5         $20,000 under $25,000  e00300_nnz   1,433,085   1,434,518   1,433  0.1%   16.1%  Number of returns with taxable interest
177            6         $25,000 under $30,000  e00300_nnz   1,326,946   1,328,273   1,327  0.1%   50.1%  Number of returns with taxable interest
156            7         $30,000 under $40,000  e00300_nnz   2,719,924   2,722,644   2,720  0.1%   30.1%  Number of returns with taxable interest
188            8         $40,000 under $50,000  e00300_nnz   2,704,026   2,706,730   2,704  0.1%   30.7%  Number of returns with taxable interest
212            9         $50,000 under $75,000  e00300_nnz   6,608,661   6,615,270   6,609  0.1%   26.4%  Number of returns with taxable interest
