
Regrown reweighted puf, lsq method, compared to IRS values, run on 2020-11-15

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

    common_stub     incrange         pufvar                  irsvar                 irs                 puf             diff   pdiff  ipdiff                                                                    column_description
8             0  All returns     c17000_nnz  nret_id_medical_capped          10,171,257           9,639,343         -531,914   -5.2%   -3.2%                                 Number of returns with total medical expenses, capped
9             0  All returns         c18300              id_taxpaid     624,820,806,000     624,820,807,000            1,000    0.0%    2.9%                                                                  Taxes paid deduction
10            0  All returns     c18300_nnz         nret_id_taxpaid          46,431,232          46,431,232               -0   -0.0%    1.2%                                           Number of returns with taxes paid deduction
11            0  All returns         c19200              id_intpaid     313,944,112,000     313,944,111,000           -1,000   -0.0%   15.1%                                                               Interest paid deduction
12            0  All returns     c19200_nnz         nret_id_intpaid          34,327,403          34,327,401               -2   -0.0%    7.5%                                        Number of returns with interest paid deduction
13            0  All returns         c19700        id_contributions     256,064,685,000     255,597,223,596     -467,461,404   -0.2%   -1.5%                                                               Contributions deduction
14            0  All returns     c19700_nnz   nret_id_contributions          37,979,015          38,044,740           65,725    0.2%    3.7%                                        Number of returns with contributions deduction

2. Detailed report by AGI range for each variable:

     common_stub                      incrange    pufvar    irsvar          irs          puf diff  pdiff  ipdiff column_description
33             0                   All returns  nret_all  nret_all  152,903,231  152,903,231    0   0.0%   -4.6%  Number of returns
67             1                  Under $5,000  nret_all  nret_all   11,782,422   11,782,422    0   0.0%  -12.7%  Number of returns
101            2          $5,000 under $10,000  nret_all  nret_all   10,789,563   10,789,563   -0  -0.0%  -13.7%  Number of returns
135            3         $10,000 under $15,000  nret_all  nret_all   11,594,637   11,594,637   -0  -0.0%   -6.2%  Number of returns
169            4         $15,000 under $20,000  nret_all  nret_all   10,665,270   10,665,270   -0  -0.0%    0.4%  Number of returns
203            5         $20,000 under $25,000  nret_all  nret_all    9,983,829    9,983,829   -0  -0.0%  -18.2%  Number of returns
237            6         $25,000 under $30,000  nret_all  nret_all    8,824,548    8,824,548   -0  -0.0%   -0.8%  Number of returns
271            7         $30,000 under $40,000  nret_all  nret_all   15,209,009   15,209,009    0   0.0%  -11.1%  Number of returns
305            8         $40,000 under $50,000  nret_all  nret_all   11,915,599   11,915,599   -0  -0.0%   -5.9%  Number of returns
339            9         $50,000 under $75,000  nret_all  nret_all   20,958,446   20,958,446   -0  -0.0%   -0.9%  Number of returns
373           10        $75,000 under $100,000  nret_all  nret_all   13,508,353   13,508,353   -0  -0.0%   -3.6%  Number of returns
407           11       $100,000 under $200,000  nret_all  nret_all   19,951,450   19,951,450    0   0.0%    5.5%  Number of returns
441           12       $200,000 under $500,000  nret_all  nret_all    6,215,046    6,215,046   -0  -0.0%    6.3%  Number of returns
475           13     $500,000 under $1,000,000  nret_all  nret_all    1,010,203    1,010,203    0   0.0%    5.7%  Number of returns
509           14   $1,000,000 under $1,500,000  nret_all  nret_all      222,611      222,611   -0  -0.0%    6.0%  Number of returns
543           15   $1,500,000 under $2,000,000  nret_all  nret_all       90,527       90,527   -0  -0.0%   13.9%  Number of returns
577           16   $2,000,000 under $5,000,000  nret_all  nret_all      129,868      129,868    0   0.0%    6.1%  Number of returns
611           17  $5,000,000 under $10,000,000  nret_all  nret_all       31,628       31,628   -0  -0.0%   20.0%  Number of returns
645           18           $10,000,000 or more  nret_all  nret_all       20,223       20,223   -0  -0.0%   -0.8%  Number of returns

     common_stub                      incrange pufvar       irsvar         irs         puf diff  pdiff  ipdiff                   column_description
29             0                   All returns  mars1  nret_single  73,021,932  73,021,932   -0  -0.0%   -7.8%  Number of returns of single persons
63             1                  Under $5,000  mars1  nret_single   9,624,749   9,624,749    0   0.0%  -11.6%  Number of returns of single persons
97             2          $5,000 under $10,000  mars1  nret_single   8,354,084   8,354,084    0   0.0%  -12.8%  Number of returns of single persons
131            3         $10,000 under $15,000  mars1  nret_single   7,508,038   7,508,038    0   0.0%   -7.4%  Number of returns of single persons
165            4         $15,000 under $20,000  mars1  nret_single   6,275,620   6,275,620    0   0.0%   -3.2%  Number of returns of single persons
199            5         $20,000 under $25,000  mars1  nret_single   5,619,627   5,619,627   -0  -0.0%  -18.8%  Number of returns of single persons
233            6         $25,000 under $30,000  mars1  nret_single   4,879,918   4,879,918   -0  -0.0%   -8.2%  Number of returns of single persons
267            7         $30,000 under $40,000  mars1  nret_single   8,056,894   8,056,894    0   0.0%  -15.0%  Number of returns of single persons
301            8         $40,000 under $50,000  mars1  nret_single   6,021,209   6,021,209    0   0.0%   -9.4%  Number of returns of single persons
335            9         $50,000 under $75,000  mars1  nret_single   8,817,515   8,817,515    0   0.0%    2.5%  Number of returns of single persons
369           10        $75,000 under $100,000  mars1  nret_single   3,751,264   3,751,264    0   0.0%    0.4%  Number of returns of single persons
403           11       $100,000 under $200,000  mars1  nret_single   3,243,701   3,243,701   -0  -0.0%    6.4%  Number of returns of single persons
437           12       $200,000 under $500,000  mars1  nret_single     699,528     699,528   -0  -0.0%    7.3%  Number of returns of single persons
471           13     $500,000 under $1,000,000  mars1  nret_single     110,266     110,266   -0  -0.0%   13.7%  Number of returns of single persons
505           14   $1,000,000 under $1,500,000  mars1  nret_single      26,192      26,192    0   0.0%    7.3%  Number of returns of single persons
539           15   $1,500,000 under $2,000,000  mars1  nret_single      10,635      10,635    0   0.0%   19.3%  Number of returns of single persons
573           16   $2,000,000 under $5,000,000  mars1  nret_single      16,163      16,163   -0  -0.0%   16.2%  Number of returns of single persons
607           17  $5,000,000 under $10,000,000  mars1  nret_single       3,882       3,882    0   0.0%   35.4%  Number of returns of single persons
641           18           $10,000,000 or more  mars1  nret_single       2,646       2,646    0   0.0%    3.5%  Number of returns of single persons

     common_stub                      incrange pufvar      irsvar         irs         puf diff  pdiff  ipdiff                                                                    column_description
30             0                   All returns  mars2  nret_mfjss  54,774,397  54,774,397   -0  -0.0%   -2.6%  Number of returns of married persons filing jointly and returns of surviving spouses
64             1                  Under $5,000  mars2  nret_mfjss   1,380,491   1,380,491    0   0.0%  -31.5%  Number of returns of married persons filing jointly and returns of surviving spouses
98             2          $5,000 under $10,000  mars2  nret_mfjss     964,726     964,726    0   0.0%  -29.0%  Number of returns of married persons filing jointly and returns of surviving spouses
132            3         $10,000 under $15,000  mars2  nret_mfjss   1,320,912   1,320,912    0   0.0%  -25.0%  Number of returns of married persons filing jointly and returns of surviving spouses
166            4         $15,000 under $20,000  mars2  nret_mfjss   1,521,743   1,521,743    0   0.0%  -16.5%  Number of returns of married persons filing jointly and returns of surviving spouses
200            5         $20,000 under $25,000  mars2  nret_mfjss   1,797,799   1,797,799   -0  -0.0%  -21.7%  Number of returns of married persons filing jointly and returns of surviving spouses
234            6         $25,000 under $30,000  mars2  nret_mfjss   1,657,652   1,657,652   -0  -0.0%   18.3%  Number of returns of married persons filing jointly and returns of surviving spouses
268            7         $30,000 under $40,000  mars2  nret_mfjss   3,456,996   3,456,996   -0  -0.0%   -4.7%  Number of returns of married persons filing jointly and returns of surviving spouses
302            8         $40,000 under $50,000  mars2  nret_mfjss   3,372,258   3,372,258    0   0.0%   -2.0%  Number of returns of married persons filing jointly and returns of surviving spouses
336            9         $50,000 under $75,000  mars2  nret_mfjss   8,786,118   8,786,118    0   0.0%   -5.4%  Number of returns of married persons filing jointly and returns of surviving spouses
370           10        $75,000 under $100,000  mars2  nret_mfjss   8,396,454   8,396,454    0   0.0%   -6.4%  Number of returns of married persons filing jointly and returns of surviving spouses
404           11       $100,000 under $200,000  mars2  nret_mfjss  15,538,630  15,538,630   -0  -0.0%    5.4%  Number of returns of married persons filing jointly and returns of surviving spouses
438           12       $200,000 under $500,000  mars2  nret_mfjss   5,303,488   5,303,488   -0  -0.0%    5.8%  Number of returns of married persons filing jointly and returns of surviving spouses
472           13     $500,000 under $1,000,000  mars2  nret_mfjss     864,399     864,399   -0  -0.0%    5.1%  Number of returns of married persons filing jointly and returns of surviving spouses
506           14   $1,000,000 under $1,500,000  mars2  nret_mfjss     187,207     187,207   -0  -0.0%    6.1%  Number of returns of married persons filing jointly and returns of surviving spouses
540           15   $1,500,000 under $2,000,000  mars2  nret_mfjss      75,877      75,877    0   0.0%   13.6%  Number of returns of married persons filing jointly and returns of surviving spouses
574           16   $2,000,000 under $5,000,000  mars2  nret_mfjss     107,321     107,321   -0  -0.0%    4.9%  Number of returns of married persons filing jointly and returns of surviving spouses
608           17  $5,000,000 under $10,000,000  mars2  nret_mfjss      26,083      26,083    0   0.0%   18.0%  Number of returns of married persons filing jointly and returns of surviving spouses
642           18           $10,000,000 or more  mars2  nret_mfjss      16,242      16,242   -0  -0.0%   -0.5%  Number of returns of married persons filing jointly and returns of surviving spouses

     common_stub                      incrange pufvar    irsvar        irs        puf diff  pdiff  ipdiff                                      column_description
31             0                   All returns  mars3  nret_mfs  3,212,807  3,212,807   -0  -0.0%  -28.1%  Number of returns of married persons filing separately
65             1                  Under $5,000  mars3  nret_mfs    201,766    201,766    0   0.0%  -44.5%  Number of returns of married persons filing separately
99             2          $5,000 under $10,000  mars3  nret_mfs    144,723    144,723    0   0.0%  -20.3%  Number of returns of married persons filing separately
133            3         $10,000 under $15,000  mars3  nret_mfs    151,753    151,753    0   0.0%   12.8%  Number of returns of married persons filing separately
167            4         $15,000 under $20,000  mars3  nret_mfs    165,662    165,662    0   0.0%  -27.9%  Number of returns of married persons filing separately
201            5         $20,000 under $25,000  mars3  nret_mfs    208,854    208,854   -0  -0.0%  -44.7%  Number of returns of married persons filing separately
235            6         $25,000 under $30,000  mars3  nret_mfs    237,759    237,759   -0  -0.0%  -26.9%  Number of returns of married persons filing separately
269            7         $30,000 under $40,000  mars3  nret_mfs    441,031    441,031   -0  -0.0%  -37.5%  Number of returns of married persons filing separately
303            8         $40,000 under $50,000  mars3  nret_mfs    396,157    396,157    0   0.0%  -31.5%  Number of returns of married persons filing separately
337            9         $50,000 under $75,000  mars3  nret_mfs    635,460    635,460    0   0.0%  -29.5%  Number of returns of married persons filing separately
371           10        $75,000 under $100,000  mars3  nret_mfs    285,591    285,591    0   0.0%  -18.0%  Number of returns of married persons filing separately
405           11       $100,000 under $200,000  mars3  nret_mfs    271,847    271,847   -0  -0.0%  -31.0%  Number of returns of married persons filing separately
439           12       $200,000 under $500,000  mars3  nret_mfs     51,414     51,414    0   0.0%   19.0%  Number of returns of married persons filing separately
473           13     $500,000 under $1,000,000  mars3  nret_mfs     10,784     10,784   -0  -0.0%   21.2%  Number of returns of married persons filing separately
507           14   $1,000,000 under $1,500,000  mars3  nret_mfs      3,100      3,100    0   0.0%   31.5%  Number of returns of married persons filing separately
541           15   $1,500,000 under $2,000,000  mars3  nret_mfs      1,891      1,891    0   0.0%   12.8%  Number of returns of married persons filing separately
575           16   $2,000,000 under $5,000,000  mars3  nret_mfs      3,165      3,165   -0  -0.0%   11.8%  Number of returns of married persons filing separately
609           17  $5,000,000 under $10,000,000  mars3  nret_mfs        994        994    0   0.0%   31.2%  Number of returns of married persons filing separately
643           18           $10,000,000 or more  mars3  nret_mfs        855        855    0   0.0%  -21.2%  Number of returns of married persons filing separately

     common_stub                      incrange pufvar    irsvar         irs         puf diff  pdiff  ipdiff                        column_description
32             0                   All returns  mars4  nret_hoh  21,894,095  21,894,096    1   0.0%    4.2%  Number of returns of heads of households
66             1                  Under $5,000  mars4  nret_hoh     575,416     575,416    0   0.0%   26.9%  Number of returns of heads of households
100            2          $5,000 under $10,000  mars4  nret_hoh   1,326,029   1,326,029    0   0.0%   -7.4%  Number of returns of heads of households
134            3         $10,000 under $15,000  mars4  nret_hoh   2,613,933   2,613,933    0   0.0%    5.6%  Number of returns of heads of households
168            4         $15,000 under $20,000  mars4  nret_hoh   2,702,244   2,702,244    0   0.0%   19.9%  Number of returns of heads of households
202            5         $20,000 under $25,000  mars4  nret_hoh   2,357,549   2,357,549   -0  -0.0%  -11.8%  Number of returns of heads of households
236            6         $25,000 under $30,000  mars4  nret_hoh   2,049,219   2,049,219   -0  -0.0%    4.4%  Number of returns of heads of households
270            7         $30,000 under $40,000  mars4  nret_hoh   3,254,088   3,254,088    0   0.0%   -4.7%  Number of returns of heads of households
304            8         $40,000 under $50,000  mars4  nret_hoh   2,125,974   2,125,974    0   0.0%    2.7%  Number of returns of heads of households
338            9         $50,000 under $75,000  mars4  nret_hoh   2,719,352   2,719,352    0   0.0%    9.0%  Number of returns of heads of households
372           10        $75,000 under $100,000  mars4  nret_hoh   1,075,043   1,075,043    0   0.0%    7.4%  Number of returns of heads of households
406           11       $100,000 under $200,000  mars4  nret_hoh     897,273     897,273   -0  -0.0%   14.9%  Number of returns of heads of households
440           12       $200,000 under $500,000  mars4  nret_hoh     160,616     160,616    0   0.0%   14.6%  Number of returns of heads of households
474           13     $500,000 under $1,000,000  mars4  nret_hoh      24,755      24,755   -0  -0.0%  -17.9%  Number of returns of heads of households
508           14   $1,000,000 under $1,500,000  mars4  nret_hoh       6,112       6,112    0   0.0%  -17.2%  Number of returns of heads of households
542           15   $1,500,000 under $2,000,000  mars4  nret_hoh       2,123       2,123    0   0.0%   -4.7%  Number of returns of heads of households
576           16   $2,000,000 under $5,000,000  mars4  nret_hoh       3,220       3,220   -0  -0.0%  -10.6%  Number of returns of heads of households
610           17  $5,000,000 under $10,000,000  mars4  nret_hoh         669         669   -0  -0.0%   -6.7%  Number of returns of heads of households
644           18           $10,000,000 or more  mars4  nret_hoh         480         480   -0  -0.0%    0.0%  Number of returns of heads of households

     common_stub                      incrange  pufvar irsvar                 irs                 puf   diff  pdiff  ipdiff                  column_description
0              0                   All returns  c00100    agi  11,009,900,155,000  11,009,900,156,000  1,000   0.0%    1.7%  Adjusted gross income less deficit
34             1                  Under $5,000  c00100    agi    -207,008,365,000    -207,008,365,000     -0   0.0%  -71.0%  Adjusted gross income less deficit
68             2          $5,000 under $10,000  c00100    agi      81,447,661,000      81,447,661,000     -0  -0.0%  -14.5%  Adjusted gross income less deficit
102            3         $10,000 under $15,000  c00100    agi     145,001,169,000     145,001,169,000     -0  -0.0%   -5.4%  Adjusted gross income less deficit
136            4         $15,000 under $20,000  c00100    agi     186,097,793,000     186,097,793,000      0   0.0%   -0.1%  Adjusted gross income less deficit
170            5         $20,000 under $25,000  c00100    agi     224,218,126,000     224,218,126,000     -0  -0.0%  -18.0%  Adjusted gross income less deficit
204            6         $25,000 under $30,000  c00100    agi     242,450,897,000     242,450,897,000     -0  -0.0%   -1.0%  Adjusted gross income less deficit
238            7         $30,000 under $40,000  c00100    agi     529,629,959,000     529,629,959,000      0   0.0%  -11.1%  Adjusted gross income less deficit
272            8         $40,000 under $50,000  c00100    agi     533,337,760,000     533,337,760,000     -0  -0.0%   -5.9%  Adjusted gross income less deficit
306            9         $50,000 under $75,000  c00100    agi   1,286,848,073,000   1,286,848,073,000     -0  -0.0%   -0.7%  Adjusted gross income less deficit
340           10        $75,000 under $100,000  c00100    agi   1,170,354,458,000   1,170,354,458,000     -0  -0.0%   -3.3%  Adjusted gross income less deficit
374           11       $100,000 under $200,000  c00100    agi   2,707,840,958,000   2,707,840,958,000      0   0.0%    5.8%  Adjusted gross income less deficit
408           12       $200,000 under $500,000  c00100    agi   1,770,815,570,000   1,770,815,570,000     -0  -0.0%    6.0%  Adjusted gross income less deficit
442           13     $500,000 under $1,000,000  c00100    agi     679,941,585,000     679,941,585,000     -0  -0.0%    6.5%  Adjusted gross income less deficit
476           14   $1,000,000 under $1,500,000  c00100    agi     268,740,908,000     268,740,908,000      0   0.0%    6.7%  Adjusted gross income less deficit
510           15   $1,500,000 under $2,000,000  c00100    agi     155,813,355,000     155,813,355,000     -0  -0.0%   13.4%  Adjusted gross income less deficit
544           16   $2,000,000 under $5,000,000  c00100    agi     386,043,696,000     386,043,696,000     -0  -0.0%    6.4%  Adjusted gross income less deficit
578           17  $5,000,000 under $10,000,000  c00100    agi     216,163,537,000     216,163,537,000     -0  -0.0%   20.2%  Adjusted gross income less deficit
612           18           $10,000,000 or more  c00100    agi     632,163,016,000     632,163,016,000      0   0.0%  -28.3%  Adjusted gross income less deficit

     common_stub                      incrange  pufvar irsvar                irs                puf    diff  pdiff  ipdiff  column_description
15             0                   All returns  e00200  wages  7,577,563,943,000  7,577,563,942,000  -1,000  -0.0%    1.3%  Salaries and wages
49             1                  Under $5,000  e00200  wages     45,624,860,000     45,624,860,000       0   0.0%  -26.2%  Salaries and wages
83             2          $5,000 under $10,000  e00200  wages     61,751,519,000     61,751,519,000      -0  -0.0%   -5.3%  Salaries and wages
117            3         $10,000 under $15,000  e00200  wages    102,641,467,000    102,641,467,000      -0  -0.0%  -10.2%  Salaries and wages
151            4         $15,000 under $20,000  e00200  wages    144,870,411,000    144,870,411,000       0   0.0%  -10.0%  Salaries and wages
185            5         $20,000 under $25,000  e00200  wages    182,708,792,000    182,708,792,000      -0  -0.0%  -25.9%  Salaries and wages
219            6         $25,000 under $30,000  e00200  wages    200,080,435,000    200,080,435,000      -0  -0.0%   -7.8%  Salaries and wages
253            7         $30,000 under $40,000  e00200  wages    441,282,302,000    441,282,302,000      -0  -0.0%  -16.7%  Salaries and wages
287            8         $40,000 under $50,000  e00200  wages    437,485,582,000    437,485,582,000      -0  -0.0%  -12.3%  Salaries and wages
321            9         $50,000 under $75,000  e00200  wages  1,000,500,360,000  1,000,500,360,000      -0  -0.0%   -4.8%  Salaries and wages
355           10        $75,000 under $100,000  e00200  wages    870,406,373,000    870,406,373,000      -0  -0.0%   -6.3%  Salaries and wages
389           11       $100,000 under $200,000  e00200  wages  2,015,029,480,000  2,015,029,480,000      -0  -0.0%    9.4%  Salaries and wages
423           12       $200,000 under $500,000  e00200  wages  1,206,754,121,000  1,206,754,121,000      -0  -0.0%   11.8%  Salaries and wages
457           13     $500,000 under $1,000,000  e00200  wages    379,375,686,000    379,375,686,000      -0  -0.0%   12.1%  Salaries and wages
491           14   $1,000,000 under $1,500,000  e00200  wages    121,320,814,000    121,320,814,000       0   0.0%   14.9%  Salaries and wages
525           15   $1,500,000 under $2,000,000  e00200  wages     62,643,611,000     62,643,611,000      -0  -0.0%   20.8%  Salaries and wages
559           16   $2,000,000 under $5,000,000  e00200  wages    134,372,608,000    134,372,608,000       0   0.0%    4.4%  Salaries and wages
593           17  $5,000,000 under $10,000,000  e00200  wages     64,755,746,000     64,755,746,000       0   0.0%   30.7%  Salaries and wages
627           18           $10,000,000 or more  e00200  wages    105,959,775,000    105,959,775,000       0   0.0%   -1.5%  Salaries and wages

     common_stub                      incrange      pufvar      irsvar          irs          puf diff  pdiff  ipdiff                         column_description
16             0                   All returns  e00200_nnz  nret_wages  126,264,481  126,264,480   -1  -0.0%   -4.8%  Number of returns with salaries and wages
50             1                  Under $5,000  e00200_nnz  nret_wages    7,498,743    7,498,743   -0  -0.0%    1.5%  Number of returns with salaries and wages
84             2          $5,000 under $10,000  e00200_nnz  nret_wages    8,269,276    8,269,276   -0  -0.0%   -1.5%  Number of returns with salaries and wages
118            3         $10,000 under $15,000  e00200_nnz  nret_wages    8,640,300    8,640,300   -0  -0.0%   -7.3%  Number of returns with salaries and wages
152            4         $15,000 under $20,000  e00200_nnz  nret_wages    8,574,161    8,574,161    0   0.0%   -5.3%  Number of returns with salaries and wages
186            5         $20,000 under $25,000  e00200_nnz  nret_wages    8,364,949    8,364,949   -0  -0.0%  -23.2%  Number of returns with salaries and wages
220            6         $25,000 under $30,000  e00200_nnz  nret_wages    7,546,010    7,546,010   -0  -0.0%   -5.2%  Number of returns with salaries and wages
254            7         $30,000 under $40,000  e00200_nnz  nret_wages   13,247,533   13,247,533    0   0.0%  -15.4%  Number of returns with salaries and wages
288            8         $40,000 under $50,000  e00200_nnz  nret_wages   10,403,747   10,403,747   -0  -0.0%  -10.4%  Number of returns with salaries and wages
322            9         $50,000 under $75,000  e00200_nnz  nret_wages   17,936,912   17,936,912   -0  -0.0%   -3.4%  Number of returns with salaries and wages
356           10        $75,000 under $100,000  e00200_nnz  nret_wages   11,528,881   11,528,881    0   0.0%   -5.9%  Number of returns with salaries and wages
390           11       $100,000 under $200,000  e00200_nnz  nret_wages   17,460,941   17,460,941    0   0.0%    7.2%  Number of returns with salaries and wages
424           12       $200,000 under $500,000  e00200_nnz  nret_wages    5,511,434    5,511,434   -0  -0.0%    8.5%  Number of returns with salaries and wages
458           13     $500,000 under $1,000,000  e00200_nnz  nret_wages      871,177      871,177   -0  -0.0%    5.6%  Number of returns with salaries and wages
492           14   $1,000,000 under $1,500,000  e00200_nnz  nret_wages      187,004      187,004   -0  -0.0%    3.5%  Number of returns with salaries and wages
526           15   $1,500,000 under $2,000,000  e00200_nnz  nret_wages       74,469       74,469   -0  -0.0%   12.6%  Number of returns with salaries and wages
560           16   $2,000,000 under $5,000,000  e00200_nnz  nret_wages      106,641      106,641   -0  -0.0%    2.5%  Number of returns with salaries and wages
594           17  $5,000,000 under $10,000,000  e00200_nnz  nret_wages       25,938       25,938   -0  -0.0%   17.6%  Number of returns with salaries and wages
628           18           $10,000,000 or more  e00200_nnz  nret_wages       16,364       16,364   -0  -0.0%    0.3%  Number of returns with salaries and wages

     common_stub                      incrange  pufvar  irsvar              irs              puf   diff  pdiff  ipdiff column_description
17             0                   All returns  e00300  taxint  106,055,367,000  106,055,368,000  1,000   0.0%    0.0%   Taxable interest
51             1                  Under $5,000  e00300  taxint    6,313,334,000    6,313,334,000      0   0.0%  -41.4%   Taxable interest
85             2          $5,000 under $10,000  e00300  taxint      750,884,000      750,884,000      0   0.0%  -26.6%   Taxable interest
119            3         $10,000 under $15,000  e00300  taxint      910,294,000      910,294,000     -0  -0.0%   58.5%   Taxable interest
153            4         $15,000 under $20,000  e00300  taxint    1,023,518,000    1,023,518,000     -0  -0.0%   82.5%   Taxable interest
187            5         $20,000 under $25,000  e00300  taxint    1,022,021,000    1,022,021,000     -0  -0.0%  109.3%   Taxable interest
221            6         $25,000 under $30,000  e00300  taxint      941,757,000      941,757,000     -0  -0.0%  122.5%   Taxable interest
255            7         $30,000 under $40,000  e00300  taxint    1,942,630,000    1,942,630,000      0   0.0%   81.5%   Taxable interest
289            8         $40,000 under $50,000  e00300  taxint    1,735,295,000    1,735,295,000     -0  -0.0%   99.7%   Taxable interest
323            9         $50,000 under $75,000  e00300  taxint    5,574,683,000    5,574,683,000     -0  -0.0%   60.0%   Taxable interest
357           10        $75,000 under $100,000  e00300  taxint    5,046,194,000    5,046,194,000     -0  -0.0%   59.9%   Taxable interest
391           11       $100,000 under $200,000  e00300  taxint   14,295,833,000   14,295,833,000     -0  -0.0%   23.0%   Taxable interest
425           12       $200,000 under $500,000  e00300  taxint   14,390,980,000   14,390,980,000     -0  -0.0%   -2.8%   Taxable interest
459           13     $500,000 under $1,000,000  e00300  taxint    8,601,677,000    8,601,677,000     -0  -0.0%    8.0%   Taxable interest
493           14   $1,000,000 under $1,500,000  e00300  taxint    4,459,093,000    4,459,093,000     -0  -0.0%   -6.4%   Taxable interest
527           15   $1,500,000 under $2,000,000  e00300  taxint    2,988,390,000    2,988,390,000     -0  -0.0%    0.3%   Taxable interest
561           16   $2,000,000 under $5,000,000  e00300  taxint    8,879,902,000    8,879,902,000     -0  -0.0%  -13.1%   Taxable interest
595           17  $5,000,000 under $10,000,000  e00300  taxint    5,684,017,000    5,684,017,000      0   0.0%   -9.8%   Taxable interest
629           18           $10,000,000 or more  e00300  taxint   21,494,866,000   21,494,866,000      0   0.0%  -56.1%   Taxable interest

     common_stub                      incrange      pufvar       irsvar         irs         puf diff  pdiff  ipdiff                       column_description
